"Gene","direct_effect","direct_effect_hr","direct_bootstrap_se","direct_ci_low","direct_ci_high","direct_p_value","indirect_effect","indirect_effect_hr","indirect_bootstrap_se","indirect_ci_low","indirect_ci_high","indirect_p_value","total_effect","total_effect_hr","total_bootstrap_se","total_ci_low","total_ci_high","total_p_value","bootstrap_attempted","bootstrap_failed","bootstrap_valid","basis_k"
"KIT",0.344664767283378,1.41151665378258,2.83029048183845,-4.50748395489858,3.08239705127296,0.62,-0.310803398854894,0.732857942417724,1.01883824869339,-1.92527898471613,1.65716494331333,0.64,0.0338613684284845,1.03444119057945,2.81083899553141,-3.34920504813396,2.89933034102135,0.88,100,0,100,9
"MDM4",-0.219861442896737,0.8026300003462,0.86240944125584,-2.34374476344203,1.19170934142711,0.808080808080808,0.139011982495633,1.14913786946061,0.564576927155233,-0.579921500114797,1.48984604160659,0.98989898989899,-0.0808494604011038,0.922332528563003,0.563218928420233,-1.35493992721363,0.8227298372937,0.787878787878788,100,1,99,3
"MDM4",-0.227253030496247,0.796719162538176,0.981435312461601,-2.39479798458427,1.49635951919468,0.727272727272727,0.185507277750976,1.20382896091065,0.660275918978168,-0.938634495452417,1.64458795083031,0.98989898989899,-0.041745752745271,0.959113601575935,0.596038563130289,-1.55780859905669,0.815837631913636,0.848484848484849,100,1,99,5
"MDM4",0.00769052166045063,1.00772016967632,0.969268883690539,-2.23411144587928,1.49425588340738,0.888888888888889,0.0179359507723348,1.01809776592588,0.770411784445699,-1.35259349402834,1.69786009788883,0.828282828282828,0.0256264724327854,1.02595765342592,0.658581794629154,-1.69653893790743,0.92872275721664,0.848484848484849,100,1,99,7
"MDM4",-0.0913056600419248,0.912738680513866,1.07165333365275,-2.2247894397474,1.66168414169774,0.767676767676768,0.0725159876361104,1.0752099960189,0.887183683053271,-1.21155944703188,2.03263331035744,0.96969696969697,-0.0187896724058143,0.98138575304161,0.80840472890832,-1.67943646795883,1.30611227443341,0.828282828282828,100,1,99,9
"PDGFRA",0.129881577168145,1.1386935280276,2.02230790029986,-1.9388466830128,4.2908484447986,0.8,-0.0809888930273985,0.922203934281556,0.316096808845826,-0.7361144989547,0.511645303378017,0.68,0.0488926841407463,1.050107651488,2.10957381065846,-2.16163261579435,4.32208348233384,0.84,100,0,100,3
"PDGFRA",0.107172470674375,1.11312621955443,2.15438345180098,-2.07335753634048,4.3430409721408,0.7,-0.0741251271516483,0.928555499067133,0.448285523792052,-0.898911655110489,0.974170206998257,0.86,0.0330473435227263,1.03359947232307,2.14276398194882,-1.8867560474187,4.28810546782946,0.9,100,0,100,5
"PDGFRA",-0.00728766837907176,0.992738822285342,2.13038595296409,-2.32902799885593,4.15297593036231,0.92,0.0782035108391732,1.08134270123936,0.829614525370263,-1.5961656350626,1.81493711328581,0.9,0.0709158424601015,1.07349087971522,2.25616331303967,-2.13596686683607,4.06013509070341,0.84,100,0,100,7
"PDGFRA",0.192598107339372,1.21239544276411,2.33485042040176,-2.983052943831,4.7756130777806,0.86,0.277433933087961,1.31973892518799,1.04645766363882,-1.4265350760634,2.63699366920577,0.72,0.470032040427333,1.60004545853632,2.37455259901764,-2.18183758586099,5.61678803632308,0.62,100,0,100,9
"PIK3CA",1.08375259459355,2.9557504990266,0.837920273920214,0.185299560880769,3.6286559982318,0.0404040404040404,0.0428769634027324,1.04380946018552,0.258791774283423,-0.531605400799616,0.454133608136805,0.94949494949495,1.12662955799628,3.08524033283202,0.853040173859068,0.200995068292786,3.69353195348661,0.0404040404040404,100,1,99,3
"PIK3CA",1.13518425376435,3.11174684115652,0.961025347940215,-0.00489984562319755,3.73281300125292,0.0606060606060606,0.028953687088395,1.02937691992886,0.36263909352238,-0.954616189808399,0.475448302395787,0.96969696969697,1.16413794085275,3.20316037894807,0.879878453742212,0.0322041259367846,3.82761423642443,0.0404040404040404,100,1,99,5
"PIK3CA",1.25728372411539,3.51585846378112,1.18508202349202,-0.199824799105387,4.16109166270144,0.0808080808080808,-0.0925750495369207,0.911580794680682,0.464866932377255,-0.933026648464728,0.804855183440441,0.787878787878788,1.16470867457847,3.20498905239839,1.12006722557558,-0.0187227405249893,4.43890311851729,0.0606060606060606,100,1,99,7
"PIK3CA",1.29738884981215,3.65972808088147,1.30986328167821,-0.425327707034253,4.27690850287567,0.121212121212121,-0.0606329874710336,0.941168597063899,0.51473613524965,-0.94580070370593,0.883040275640133,0.909090909090909,1.23675586234111,3.44442114351857,1.22979454307157,-0.14569045219098,4.41579884754256,0.0808080808080808,100,1,99,9
"PTEN",-0.702104842821182,0.495541169034884,0.799744963804236,-2.28087589834963,1.13104181068471,0.36,-0.111168774734588,0.894787718624617,0.316728007393695,-0.634558008169047,0.51561445249839,0.62,-0.81327361755577,0.4434041521253,0.692612485185689,-2.16095485718865,0.598721801580772,0.26,100,0,100,3
"PTEN",-0.765131047235889,0.465272954244397,0.926440601373468,-2.64199196001629,1.18135254554769,0.42,-0.0700495693730887,0.932347602874308,0.459816565847087,-0.969932054964166,0.87506624520633,0.78,-0.835180616608978,0.433796123572011,0.71722534841225,-2.23689835164042,0.622975841454183,0.28,100,0,100,5
"PTEN",-0.379775292329867,0.684015095382898,1.09590380955391,-2.27186216163434,2.16351693902529,0.66,-0.436524000849036,0.646278986455686,0.790565888917149,-2.60973732723314,0.851483115737178,0.38,-0.816299293178903,0.442064582564449,0.828445231983614,-2.48243932939889,0.68505905018878,0.3,100,0,100,7
"PTEN",0.132616138063947,1.14181161617957,1.13874528734252,-1.8385500947653,2.4200302887146,0.88,-0.837081566302032,0.432972282252597,1.24717843418713,-3.81210706969799,0.981219022546452,0.24,-0.704465428238085,0.494372781359796,1.24322218928215,-4.03412885249048,0.825387151726102,0.36,100,0,100,9
