"Gene","direct_effect","direct_effect_hr","direct_bootstrap_se","direct_ci_low","direct_ci_high","direct_p_value","indirect_effect","indirect_effect_hr","indirect_bootstrap_se","indirect_ci_low","indirect_ci_high","indirect_p_value","total_effect","total_effect_hr","total_bootstrap_se","total_ci_low","total_ci_high","total_p_value","bootstrap_attempted","bootstrap_failed","bootstrap_valid"
"DDIT3",2.24260996673708,9.41787959084593,1.47473250917856,0.192043269654611,5.97818155056112,0.02,0.261350716761964,1.2986830554886,1.18669319417107,-2.40710773257029,2.67487963779274,0.72,2.50396068349904,12.2308406432635,1.18543033740404,1.49899140385501,5.74873924434152,0.01,100,0,100
"EGFR",0.140762694795801,1.1511514413415,0.793372273168731,-1.46344535209086,1.7368478242277,0.98,0.0335389383811013,1.03410770942242,0.557122448545163,-1.0043145449478,0.996837052458145,0.86,0.174301633176902,1.19041458020397,0.719644704160877,-1.32441243224543,1.41246783444141,0.74,100,0,100
"KIT",0.344664767283378,1.41151665378258,2.83029048183845,-4.50748395489858,3.08239705127296,0.62,-0.310803398854894,0.732857942417724,1.01883824869339,-1.92527898471613,1.65716494331333,0.64,0.0338613684284845,1.03444119057945,2.81083899553141,-3.34920504813396,2.89933034102135,0.88,100,0,100
"MDM4",-0.0913056600419248,0.912738680513866,1.07165333365275,-2.2247894397474,1.66168414169774,0.767676767676768,0.0725159876361104,1.0752099960189,0.887183683053271,-1.21155944703188,2.03263331035744,0.96969696969697,-0.0187896724058143,0.98138575304161,0.80840472890832,-1.67943646795883,1.30611227443341,0.828282828282828,100,1,99
"PDGFRA",0.192598107339372,1.21239544276411,2.33485042040176,-2.983052943831,4.7756130777806,0.86,0.277433933087961,1.31973892518799,1.04645766363882,-1.4265350760634,2.63699366920577,0.72,0.470032040427333,1.60004545853632,2.37455259901764,-2.18183758586099,5.61678803632308,0.62,100,0,100
"PIK3CA",1.29738884981215,3.65972808088147,1.30986328167821,-0.425327707034253,4.27690850287567,0.121212121212121,-0.0606329874710336,0.941168597063899,0.51473613524965,-0.94580070370593,0.883040275640133,0.909090909090909,1.23675586234111,3.44442114351857,1.22979454307157,-0.14569045219098,4.41579884754256,0.0808080808080808,100,1,99
"PTEN",0.132616138063947,1.14181161617957,1.13874528734252,-1.8385500947653,2.4200302887146,0.88,-0.837081566302032,0.432972282252597,1.24717843418713,-3.81210706969799,0.981219022546452,0.24,-0.704465428238085,0.494372781359796,1.24322218928215,-4.03412885249048,0.825387151726102,0.36,100,0,100
