"Gene","term","estimate","hazard_ratio","std_error","statistic","p_value"
"MDM4","Exposure",0.00769052166045063,1.00772016967632,0.592865999939876,0.0129717704527339,0.989650314881747
"MDM4","Age",0.0347881076050066,1.03540029210641,0.0129105537108821,2.69454807160472,0.00704841585312192
"MDM4","Gender",0.00979066326987305,1.00983874861452,0.333107416110903,0.0293919102257795,0.976552024723568
"MDM4","Classical",0.60188152777121,1.82555039482364,0.403075203503443,1.49322390099858,0.135378587704678
"MDM4","Mesenchymal",0.631082763521101,1.87964468853733,0.495279942108246,1.2741940665612,0.202594647504456
"MDM4","Neural",1.04513085106303,2.84377060971459,0.538399882465986,1.94117956764051,0.0522365005571248
"MDM4","Proneural",0.854871469414798,2.35107217647139,0.61470951018443,1.39069179059604,0.164318908100469
"MDM4","Basis1",-2.9169179540422,0.0541001698249002,1.7148304802776,-1.70099493074675,0.0889439390877203
"MDM4","Basis2",-4.70637029801951,0.00903752163108104,1.87599684110216,-2.5087303959715,0.0121165923101757
"MDM4","Basis3",-5.30475289110656,0.00496792569539385,1.69856551935813,-3.12307816840127,0.00178970208582514
"MDM4","Basis4",-5.93498684056533,0.00264525756440653,1.76754122019263,-3.35776431845732,0.000785755784097848
"MDM4","Basis5",-4.47923187990569,0.0113421219213098,1.55943404974624,-2.87234454104333,0.00407438487101275
"MDM4","Basis6",-0.769576831822571,0.463209042169497,2.24936448519964,-0.342130782666051,0.732252472538884
"MDM4","Basis7",1.68826915513525,5.41010853800658,2.78016959525081,0.607254017171908,0.543682349250532
