"SampleID","Basis1","Basis2","Basis3","Basis4","Basis5","Basis6","Basis7"
"TCGA-02-0011",-0.943953313971474,0.238242503169763,-0.373418771177077,0.533083398204084,-0.683063552483988,0.666640779549789,-0.763814472787059
"TCGA-02-0027",-1.32384946768151,0.893078074794407,-0.997584144443783,1.01350707984435,-1.14840911083152,1.14645281970645,-0.896481333811294
"TCGA-02-0033",-0.830071241043947,0.579589516453631,-1.02048929372269,0.980893551251467,-0.713275075007965,0.593703622261189,-0.608239732290604
"TCGA-02-0034",-0.92115480397539,0.583100262878884,-0.813669268444975,1.21900798267031,-1.20742500504235,1.00710467688468,-0.772048588361121
"TCGA-02-0046",-1.0043766369846,0.643368373645684,-0.93678818208843,0.991881652010511,-0.916968323649002,0.899698860389663,-0.671230662986087
"TCGA-02-0047",-0.913846028743521,0.951176325065627,-1.21449759234657,0.971185373525455,-0.926102447679087,0.787582844157641,-0.726494421522396
"TCGA-02-0060",-1.64785202287862,1.62367025699429,-1.65700218514083,1.7614414400777,-1.58643643422441,1.36715969870802,-0.96633621020541
"TCGA-02-0064",-1.35439055428176,1.26267923945171,-1.59066551468724,1.51800874963052,-1.34991136704942,1.13041835542785,-0.905237438028611
"TCGA-02-0068",-0.859761053850689,0.620297464484385,-0.86698703921654,1.10476122864193,-1.11280794329791,0.78937113418458,-0.725915849612504
"TCGA-02-0069",-0.90868505760336,0.65769326320088,-0.919848923479947,1.08685791448042,-1.01032880625596,1.14638055546863,-1.01951279204465
"TCGA-02-0070",-1.23030509103638,1.07940986473413,-1.35567445742921,1.47901774769637,-1.15638148070753,1.01643524477379,-0.794518901822991
"TCGA-02-0085",-0.887501555191965,0.612271560302399,-0.928537814753935,1.14898681626436,-0.964974414532237,0.763807089430448,-0.635345874120389
"TCGA-02-0086",-0.983663691559362,0.411160996862903,-0.539536720179234,0.432662899254844,-0.56405008207854,0.615208023675454,-0.720323200547172
"TCGA-02-0087",-1.0109837234628,0.751595207276155,-0.721027690939696,0.78187903781529,-0.960918591420698,1.16134793135656,-0.870750090579572
"TCGA-02-0102",-0.547096238660105,-0.103344248331803,0.00888791721984952,-0.0052962964758335,-0.263499984861281,0.495368372012531,-0.669987037465749
"TCGA-02-0106",-0.717010337529176,0.283787289922851,-0.517599106462064,0.856474498104274,-0.903720054043704,0.879051831564517,-0.749731819359475
"TCGA-06-0122",-1.62084392260181,1.5583335866699,-1.62765731059781,1.34075707056559,-1.18189157475471,1.01598734100094,-0.847464257457495
"TCGA-06-0127",-0.858183527089184,0.532935378869296,-0.841304014304639,0.903157535489565,-0.769851513221219,0.721753249092648,-0.602177732848284
"TCGA-06-0129",-0.6938573807443,0.436530110037815,-0.732000144864905,0.509374450317514,-0.323223805716015,0.392828951046899,-0.450862135626158
"TCGA-06-0133",-1.39753283937293,1.23327498270456,-1.53381495728976,1.62703188011638,-1.31803904591163,1.07793914714799,-0.884749439026365
"TCGA-06-0137",-1.1144196246955,0.564860047909746,-0.649223759513019,0.84350852346449,-0.843563775957436,0.965930289211237,-0.819250416567354
"TCGA-06-0145",-0.877100152943697,0.336601014640473,-0.526105977130279,0.463428657657657,-0.984212094126441,0.948068331799716,-0.678603583242367
"TCGA-06-0147",-0.873079604291265,0.777688170577702,-1.05531047250229,0.96329107250713,-0.841985163874484,0.711030543703555,-0.652784242430097
"TCGA-06-0149",-1.42331701629877,1.4610708146217,-1.49833170522086,1.4110017431081,-1.44480512817296,1.31386378315094,-0.966671595447021
"TCGA-06-0154",-0.968949814145556,0.868696602042237,-1.07340499318676,0.926110110557268,-0.926570764882885,0.816115560691143,-0.648697212045282
"TCGA-06-0158",-1.1664477929148,0.903667820142693,-1.0642285796776,1.16152685224725,-1.04496579219047,0.813119407279397,-0.663911700133346
"TCGA-06-0162",-1.01935611262537,0.582416439779002,-0.81151810115203,0.938989839268219,-1.04651795062193,0.979205965906548,-0.768681236819908
"TCGA-06-0164",-0.66654707223945,0.242306130439605,-0.364691597467641,0.832598402914115,-1.25221309895969,0.791699404857049,-0.682777069433336
"TCGA-06-0166",-1.02059137991385,0.74182770069199,-0.824726468804904,0.743560258645472,-0.613502339672993,0.673448483372832,-0.591931187077542
"TCGA-06-0168",-0.882915332855774,0.729635367424087,-0.842166670346527,0.68841556209805,-0.627738563087975,0.643359401438682,-0.605106477177816
"TCGA-06-0171",-1.06901564563206,0.732300367344904,-0.9712997991623,1.11632847968621,-1.02119054773295,0.846491474490579,-0.799803835015256
