"grid","weight","RawBasis1","RawBasis2","RawBasis3","RawBasis4","RawBasis5","RawBasis6","RawBasis7","Basis1","Basis2","Basis3","Basis4","Basis5","Basis6","Basis7"
0,0.000488758553274682,1,0,0,0,0,0,0,-5.2913610537899,-2.9898064651108,-1.79119204612112,-1.04410178596237,-0.721277668093431,-0.454853267415111,-0.226397972185516
0.000977517106549365,0.000977517106549365,0.988315600847091,0.0116615110349698,2.28781546710594e-05,9.963268229095e-09,0,0,0,-5.22953467917526,-2.89794331197081,-1.72523948755553,-1.00361256096021,-0.692915200443559,-0.436870406321498,-0.217432272503417
0.00195503421309873,0.000977517106549365,0.976722574827111,0.0231860520399602,9.12934267831974e-05,7.970614583276e-08,0,0,0,-5.16819179279756,-2.80702200589039,-1.66018466744081,-0.963720122701237,-0.664979257195484,-0.419160046700541,-0.20860275109675
0.00293255131964809,0.000977517106549365,0.965220563262404,0.0345742507008695,0.000204917028484854,2.69008242185565e-07,0,0,0,-5.10733049676383,-2.71703841026133,-1.5960230411418,-0.924421128498515,-0.637467391526793,-0.401720611436769,-0.199908617713564
0.00391006842619746,0.000977517106549365,0.953809207475313,0.0458267347035961,0.000363420171924469,6.3764916666208e-07,0,0,0,-5.04694889318108,-2.6279883884754,-1.53275006402333,-0.885712235664921,-0.610377156614853,-0.384550523414629,-0.191349082101894
0.00488758553274682,0.000977517106549365,0.942488148788182,0.0569441317340386,0.000566474069250482,1.24540852863687e-06,0,0,0,-4.98704508415633,-2.53986780392439,-1.47036119145027,-0.847590101513466,-0.583706105637211,-0.367648205518478,-0.182923354009657
0.00586510263929619,0.000977517106549365,0.931257028523356,0.0679270694780953,0.000813749932611334,2.15206593748452e-06,0,0,0,-4.92761717179659,-2.45267252000006,-1.40885187878745,-0.810051383357123,-0.557451791771348,-0.351012080632902,-0.174630643185001
0.00684261974584555,0.000977517106549365,0.920115488003177,0.0787761756216648,0.00110491897415546,3.41740100257958e-06,0,0,0,-4.8686632582089,-2.36639840009421,-1.34821758139972,-0.773092738508867,-0.531611768194749,-0.33464057164233,-0.16647015937589
0.00782013685239492,0.000977517106549365,0.90906316854999,0.0894920778506453,0.00143965240603131,5.10119333329664e-06,0,0,0,-4.81018144550026,-2.28104130759862,-1.28845375465194,-0.736710824281673,-0.506183588084902,-0.318532101431225,-0.158441112330359
0.00879765395894428,0.000977517106549365,0.898099711486138,0.100075403850935,0.00181762144038731,7.26322253901025e-06,0,0,0,-4.7521698357777,-2.19659710590505,-1.22955585390895,-0.700902297988517,-0.481164804619296,-0.302685092884052,-0.150542711796429
0.00977517106549365,0.000977517106549365,0.887224758133966,0.110526781308433,0.00223849728937192,9.963268229095e-06,0,0,0,-4.69462653114823,-2.11306165840529,-1.1715193345356,-0.665663816942373,-0.456552970975418,-0.287097968885277,-0.142774167522123
0.010752688172043,0.000977517106549365,0.876437949815816,0.120846837909038,0.00270195116513356,1.32611100129254e-05,0,0,0,-4.63754963371887,-2.03043082849113,-1.11433965189673,-0.630992038456218,-0.432345640330756,-0.271769152319363,-0.135134689255465
0.0117302052785924,0.000977517106549365,0.865738927854032,0.131036201338647,0.00320765427982068,1.72165274998762e-05,0,0,0,-4.58093724559665,-1.94870047955433,-1.05801226135719,-0.596883619843025,-0.408540365862798,-0.256697066070777,-0.127623486744475
0.0127077223851417,0.000977517106549365,0.855127333570959,0.14109549928316,0.00375527784558171,2.18893002993217e-05,0,0,0,-4.52478746888858,-1.86786647498669,-1.00253261828184,-0.56333521841577,-0.385134700749032,-0.241880133023983,-0.120239769737179
0.0136852394916911,0.000977517106549365,0.84460280828894,0.151025359428474,0.0043444930745651,2.73392080206367e-05,0,0,0,-4.46909840570168,-1.78792467817997,-0.947896178035512,-0.530343491487428,-0.362126198166946,-0.227316776063445,-0.112982747981598
0.0146627565982405,0.000977517106549365,0.834164993330319,0.160826409460489,0.00497497117891929,3.36260302731956e-05,0,0,0,-4.41386815814296,-1.70887095252597,-0.894098395983063,-0.497905096370975,-0.339512411294028,-0.21300541807363,-0.105851631225755
0.0156402737047898,0.000977517106549365,0.823813530017439,0.170499277065102,0.00564638337079272,4.08095466663731e-05,0,0,0,-4.35909482831945,-1.63070116141645,-0.841134727489338,-0.466016690379385,-0.317290893307765,-0.198944481939002,-0.098845629217673
0.0166177908113392,0.000977517106549365,0.813548059672645,0.180044589928212,0.00635840086233382,4.89495368095437e-05,0,0,0,-4.30477651833818,-1.5534111682432,-0.789000627919186,-0.434674930825634,-0.295459197385646,-0.185132390544025,-0.0919639517053755
0.0175953079178886,0.000977517106549365,0.80336822361828,0.189462975735717,0.00711069486569104,5.8105780312082e-05,0,0,0,-4.25091133030614,-1.476996836398,-0.737691552637453,-0.403876475022697,-0.274014876705159,-0.171567566773166,-0.0852058084368847
0.0185728250244379,0.000977517106549365,0.793273663176687,0.198755062173517,0.00790293659301281,6.83380567833626e-05,0,0,0,-4.19749736633037,-1.40145402927263,-0.687202957008987,-0.373617980283548,-0.25295548444379,-0.158248433510888,-0.0785704091602238
0.0195503421309873,0.000977517106549365,0.783264019670211,0.207921476927508,0.00873479725644758,7.970614583276e-05,0,0,0,-4.14453272851788,-1.32677861025886,-0.637530296398637,-0.343896103921164,-0.232278573779029,-0.145173413641657,-0.0720569636234155
0.0205278592375367,0.000977517106549365,0.773338934421196,0.216962847683591,0.00960594806814379,9.22698270696487e-05,0,0,0,-4.0920155189757,-1.25296644274848,-0.588669026171251,-0.314707503248519,-0.211981697888363,-0.132340930049938,-0.0656646815744828
0.021505376344086,0.000977517106549365,0.763498048751984,0.225879802127662,0.0105160602402499,0.000106088880103404,0,0,0,-4.03994383981083,-1.18001339013327,-0.540614601691675,-0.286048835578589,-0.19206240994928,-0.119749405620195,-0.0593927727614484
