"replicate","direct_effect","indirect_effect","total_effect","status","message"
1,0.627527583289104,-0.00588337311707404,0.62164421017203,"ok",NA
2,1.44078882646402,-0.960099503073787,0.480689323390235,"ok",NA
3,-0.947538299042435,0.491537316536488,-0.456000982505948,"ok",NA
4,0.287934028794052,-0.00977787832347218,0.27815615047058,"ok",NA
5,1.06205890179089,-0.140301817767719,0.921757084023169,"ok",NA
6,-0.1209363432073,-0.168109431631798,-0.289045774839097,"ok",NA
7,0.24646427377048,-0.549573381631436,-0.303109107860956,"ok",NA
8,0.261689825439704,-0.219956654152465,0.0417331712872382,"ok",NA
9,0.654317348388482,-0.0349024569293901,0.619414891459092,"ok",NA
10,-0.0577220621194439,0.0311756962427693,-0.0265463658766746,"ok",NA
11,0.20230309990814,-0.611141659063479,-0.408838559155339,"ok",NA
12,0.402989795557158,0.00454677980175792,0.407536575358916,"ok",NA
13,-0.269005335319882,-0.273776766372572,-0.542782101692454,"ok",NA
14,-0.50485040575941,0.182211611300519,-0.322638794458891,"ok",NA
15,0.824468680568135,-0.234462539761676,0.590006140806459,"ok",NA
16,-0.0583357546120828,0.278256193740622,0.219920439128539,"ok",NA
17,1.35485487059255,-0.150051550624494,1.20480331996805,"ok",NA
18,-0.742086419103797,-0.0144506824497456,-0.756537101553543,"ok",NA
19,0.267134624439302,-0.274780098025421,-0.00764547358611867,"ok",NA
20,0.289940140085797,-0.140872305002094,0.149067835083703,"ok",NA
21,0.856936731099358,-0.14338561222216,0.713551118877198,"ok",NA
22,0.300123929421321,-0.167713669594188,0.132410259827133,"ok",NA
23,0.826603859882489,-0.45073695534001,0.375866904542479,"ok",NA
24,0.907951269310557,-0.256240391858189,0.651710877452368,"ok",NA
25,-0.265278557858315,-0.242767391910361,-0.508045949768675,"ok",NA
26,-0.0562446783828086,-0.312920044276446,-0.369164722659255,"ok",NA
27,1.48786025282519,-0.660482252085361,0.82737800073983,"ok",NA
28,-0.79249488339131,-0.113309918607086,-0.905804801998396,"ok",NA
29,-0.218771575321099,0.364629879236313,0.145858303915214,"ok",NA
30,0.311455259691716,-0.429574333905241,-0.118119074213524,"ok",NA
31,-1.8197897696727,-0.202215059739169,-2.02200482941187,"ok",NA
32,-0.291911657787029,-0.0968233264488783,-0.388734984235907,"ok",NA
33,0.861296797088999,-0.605330576557758,0.255966220531241,"ok",NA
34,1.10266107781009,-0.204395890258704,0.898265187551384,"ok",NA
35,-0.410093420514095,-0.349108881388821,-0.759202301902916,"ok",NA
36,-0.0662612492723214,-0.164052139114403,-0.230313388386725,"ok",NA
37,0.690340361471628,-0.189053601431767,0.501286760039861,"ok",NA
38,1.50381415268289,-0.933362474323159,0.570451678359731,"ok",NA
39,0.709805419002675,-0.783772500454487,-0.0739670814518114,"ok",NA
40,0.224802295027335,0.0152518590272041,0.240054154054539,"ok",NA
41,0.199469620023328,-0.668796956990051,-0.469327336966724,"ok",NA
42,-0.0205162231080401,0.673667525914508,0.653151302806468,"ok",NA
43,0.726227671499986,-0.168629768070683,0.557597903429303,"ok",NA
44,-0.487117502457702,-0.31977112136529,-0.806888623822992,"ok",NA
45,0.586565518053998,-0.0838678457648493,0.502697672289149,"ok",NA
46,-0.345947924502915,0.0939684554949805,-0.251979469007934,"ok",NA
47,0.470779541725888,-0.086569424790544,0.384210116935344,"ok",NA
48,0.489834351007083,-0.382101606345012,0.107732744662071,"ok",NA
49,0.017230821868734,-0.224929736696573,-0.207698914827839,"ok",NA
