"SampleID","Basis1","Basis2","Basis3"
"TCGA-02-0011",0.37646326447682,-1.43379483534229,0.624501488477348
"TCGA-02-0027",1.05626293687552,-2.50186627982573,0.704342275676656
"TCGA-02-0033",1.12816974215763,-1.65405981302732,0.265114847695751
"TCGA-02-0034",1.24926881506899,-1.99118306187111,0.864798274842887
"TCGA-02-0046",1.06999253693908,-1.95395098598643,0.534573158334192
"TCGA-02-0047",1.25641102158958,-2.0849507623051,0.325818543767292
"TCGA-02-0060",1.96942068344773,-3.50051479157815,0.579733996482237
"TCGA-02-0064",1.79965093742197,-2.9261092477473,0.500937829699627
"TCGA-02-0068",1.20669055205307,-1.86611366634147,0.653241177940294
"TCGA-02-0069",1.15450458973094,-2.07564446292392,0.885930574999273
"TCGA-02-0070",1.63643265565878,-2.58715060843904,0.457712741642457
"TCGA-02-0085",1.23228898509189,-1.83198044704732,0.509702309177533
"TCGA-02-0086",0.367062864441025,-1.51967881637188,0.397253199609965
"TCGA-02-0087",0.792827602985466,-2.09101239782846,0.809318928712221
"TCGA-02-0102",-0.189280400801153,-0.679181196489311,0.587554244566673
"TCGA-02-0106",0.814829951049751,-1.48089986952156,0.857866671660116
"TCGA-06-0122",1.58013449796639,-3.164494960645,0.150262763786483
"TCGA-06-0127",0.971880896621674,-1.66099097064351,0.428081937307767
"TCGA-06-0129",0.592758506692153,-1.19151208772016,0.0470068001386407
"TCGA-06-0133",1.82277203108953,-2.90977812442167,0.467552761491516
"TCGA-06-0137",0.732581063494692,-1.95162436510758,0.678648398075349
"TCGA-06-0145",0.514249917322191,-1.61223176141038,0.839341940507431
"TCGA-06-0147",1.15407005245995,-1.87286739733724,0.327357447183525
"TCGA-06-0149",1.67044432369744,-3.14612905733306,0.622317308570416
"TCGA-06-0154",1.12740334098616,-2.04079845400775,0.369844747269177
"TCGA-06-0158",1.2498954547242,-2.24589509286921,0.385182879488188
"TCGA-06-0162",0.978695792268723,-1.9815267871551,0.736114143567067
"TCGA-06-0164",0.82128680124132,-1.44050246325536,1.02337630076744
"TCGA-06-0166",0.76494764971807,-1.80751607365802,0.210929829845547
"TCGA-06-0168",0.78629426456854,-1.70233962371237,0.234061676050058
"TCGA-06-0171",1.177151654692,-2.09925411184608,0.552279435323857
"TCGA-06-0173",1.24052019809967,-2.39507960150533,0.683908747058318
"TCGA-06-0174",1.13717403223742,-2.28079961771484,0.332798750320316
"TCGA-06-0175",0.582443383006954,-1.63641737087975,0.211063339825577
"TCGA-06-0176",0.846101969433715,-1.86820549931859,0.571360030565332
"TCGA-06-0177",0.214683397736233,-0.757589505768487,1.08077002045302
"TCGA-06-0179",2.24832171859852,-3.3143290176371,0.927219327325925
"TCGA-06-0185",0.972532652861273,-2.63127312777397,0.666438840372216
"TCGA-06-0187",0.576201045529882,-1.71753020473021,0.489170349157035
"TCGA-06-0189",1.48974797309763,-2.47290510773421,0.502886507625439
"TCGA-06-0190",1.28941813620315,-1.78351909013749,0.626679157752859
"TCGA-06-0210",1.35388911721303,-2.18166529952502,0.165184704711588
"TCGA-06-0237",1.10697702900257,-2.09748999823696,0.00494840333548608
"TCGA-06-0238",1.96065596600358,-3.00348479597985,0.487546261160574
"TCGA-06-0241",2.03230667636633,-2.78694408413928,0.582894338239092
"TCGA-06-0644",1.88951005274974,-2.86279697997814,0.347586155748646
"TCGA-08-0350",-0.0223146019253068,-0.546113675364499,0.721205354849793
"TCGA-08-0353",0.489677569370029,-1.06000374659757,0.476644510954867
"TCGA-08-0357",0.0917572058386063,-0.297738805078389,0.418940420585322
"TCGA-08-0358",0.943307416859674,-1.91933521353973,0.502648833716304
"TCGA-08-0360",0.237220411897761,-0.892482493338696,0.445833980513187
"TCGA-08-0385",0.402376308263134,-1.13888180708768,0.44793769571538
"TCGA-08-0390",0.248751961951214,-1.3100233997579,0.282402889282893
"TCGA-08-0392",0.258043934771753,-0.953258969624291,0.535671031980463
"TCGA-08-0509",-0.119499927998732,-0.609691215831754,-0.188121521295761
"TCGA-08-0510",0.197789281551297,-1.0170443239536,0.410954421508536
"TCGA-08-0511",0.782637537173982,-1.32712238570199,0.373304261473608
"TCGA-08-0512",0.965870842254803,-1.66664013362049,0.169917977234145
"TCGA-08-0518",1.87014063499448,-2.66827182187193,0.943439233890772
"TCGA-08-0520",0.404295187703972,-0.864259510541692,0.793058128547859
"TCGA-08-0521",0.335449356559965,-0.971208885302965,0.380520351754433
"TCGA-08-0522",0.161814929537788,-1.23163386798277,0.482327782507014
"TCGA-08-0524",0.253411633143492,-0.989141312943703,0.615349015391171
"TCGA-08-0529",0.233577895923308,-1.09404113317808,0.37585929528371
