"grid","weight","RawBasis1","RawBasis2","RawBasis3","Basis1","Basis2","Basis3"
0,0.000488758553274682,-0.455281527567432,0.591598433924658,-0.394398955949772,-1.44416859930537,-2.36155426472078,-0.667369401685853
0.000977517106549365,0.000977517106549365,-0.452714425010119,0.591030281841238,-0.39402018664875,-1.43602566206766,-2.35564855222577,-0.668218284643448
0.00195503421309873,0.000977517106549365,-0.450147339660631,0.590462132783071,-0.393641411892112,-1.42788277941377,-2.34974287722105,-0.669067137601868
0.00293255131964809,0.000977517106549365,-0.447580288726794,0.589893989775411,-0.393262626224244,-1.4197400059275,-2.34383727719696,-0.66991593056178
0.00391006842619746,0.000977517106549365,-0.445013289416434,0.589325855843511,-0.392883824189528,-1.41159739619266,-2.33793178964383,-0.670764633523971
0.00488758553274682,0.000977517106549365,-0.442446358937376,0.588757734012624,-0.39250500033235,-1.40345500479308,-2.33202645205196,-0.671613216489205
0.00586510263929619,0.000977517106549365,-0.439879514497446,0.588189627308005,-0.392126149197094,-1.39531288631255,-2.32612130191167,-0.672461649458242
0.00684261974584555,0.000977517106549365,-0.437312773304469,0.587621538754905,-0.391747265328145,-1.3871710953349,-2.32021637671328,-0.673309902431842
0.00782013685239492,0.000977517106549365,-0.434746152566271,0.58705347137858,-0.391368343269886,-1.37902968644393,-2.31431171394711,-0.674157945410766
0.00879765395894428,0.000977517106549365,-0.432179669490677,0.586485428204281,-0.390989377566703,-1.37088871422345,-2.30840735110347,-0.675005748395775
0.00977517106549365,0.000977517106549365,-0.429613341285513,0.585917412257263,-0.39061036276298,-1.36274823325729,-2.30250332567267,-0.675853281387629
0.010752688172043,0.000977517106549365,-0.427047185158604,0.585349426562779,-0.390231293403101,-1.35460829812924,-2.29659967514504,-0.676700514387088
0.0117302052785924,0.000977517106549365,-0.424481218317776,0.584781474146082,-0.38985216403145,-1.34646896342313,-2.2906964370109,-0.677547417394914
0.0127077223851417,0.000977517106549365,-0.421915457970854,0.584213558032426,-0.389472969192413,-1.33833028372276,-2.28479364876055,-0.678393960411867
0.0136852394916911,0.000977517106549365,-0.419349921325665,0.583645681247064,-0.389093703430373,-1.33019231361194,-2.27889134788431,-0.679240113438707
