"replicate","direct_effect","indirect_effect","total_effect","status","message"
1,-1.30204020857488,-0.125846774731138,-1.42788698330602,"ok",NA
2,0.0559720233849396,-0.740544710196281,-0.684572686811341,"ok",NA
3,-0.0952587625796235,-0.100396061424086,-0.19565482400371,"ok",NA
4,0.397000471124686,-0.939296370785953,-0.542295899661268,"ok",NA
5,-2.33868148702608,0.548470999795105,-1.79021048723097,"ok",NA
6,-1.07626614693143,-0.862238271445782,-1.93850441837721,"ok",NA
7,-2.19800922304347,-0.285666952025674,-2.48367617506915,"ok",NA
8,-0.972203566879982,-0.265433901673808,-1.23763746855379,"ok",NA
9,-1.44801191871817,-0.0046892779576015,-1.45270119667577,"ok",NA
10,-0.547083764020431,-0.265675811265213,-0.812759575285643,"ok",NA
11,-0.602295616092139,-0.781653070068184,-1.38394868616032,"ok",NA
12,0.0697811661420163,-1.7116035808189,-1.64182241467688,"ok",NA
13,2.01139131155537,-1.79070267863904,0.220688632916332,"ok",NA
14,-1.37662745703631,0.0454453700664274,-1.33118208696988,"ok",NA
15,-1.1045413683137,-0.393820661022972,-1.49836202933667,"ok",NA
16,-1.26611111511391,-0.0140781694854076,-1.28018928459932,"ok",NA
17,-0.296578296473727,-0.329034765753379,-0.625613062227106,"ok",NA
18,-0.119472360502846,-1.10741019537608,-1.22688255587893,"ok",NA
19,-2.79888804186363,-0.0436180610623029,-2.84250610292593,"ok",NA
20,-1.73860746794507,-0.166670392342803,-1.90527786028788,"ok",NA
21,-0.947397853079308,-0.12905876768606,-1.07645662076537,"ok",NA
22,0.223032456859216,-0.806390890871553,-0.583358434012337,"ok",NA
23,1.06000149037991,-0.628566898088043,0.431434592291864,"ok",NA
24,0.492845970034835,-0.291576442711198,0.201269527323637,"ok",NA
25,-1.62714551830132,0.378320145848252,-1.24882537245307,"ok",NA
26,0.598624885904233,-0.436382115412473,0.162242770491761,"ok",NA
27,-0.57280063926177,-0.561526521625509,-1.13432716088728,"ok",NA
28,-0.778217849311121,1.02205041814062,0.243832568829503,"ok",NA
29,0.791155835678707,-0.0107746520547788,0.780381183623928,"ok",NA
30,1.05157199491603,-1.06070483777185,-0.00913284285582128,"ok",NA
31,0.379305802729959,-0.812176982464248,-0.43287117973429,"ok",NA
32,-0.338765622254671,-0.523253956843204,-0.862019579097876,"ok",NA
33,-0.849385464082299,-0.390083960540226,-1.23946942462253,"ok",NA
34,0.439976791241104,-0.71944245304959,-0.279465661808485,"ok",NA
35,-0.188149392240427,-0.574467316548168,-0.762616708788595,"ok",NA
36,-1.42909685845248,-0.895635802412113,-2.32473266086459,"ok",NA
37,-1.68383378744382,0.768309494664066,-0.915524292779759,"ok",NA
38,-3.02686289578976,0.926735439565235,-2.10012745622453,"ok",NA
39,-0.802932220185247,-0.490785483673487,-1.29371770385873,"ok",NA
40,1.96349114004992,-3.06092990275717,-1.09743876270725,"ok",NA
41,-0.439792651803462,-1.41660603492201,-1.85639868672548,"ok",NA
42,0.8955406344872,-0.701466672313614,0.194073962173586,"ok",NA
43,-0.647895795135511,-0.351143425702156,-0.999039220837667,"ok",NA
44,-1.19868204003014,-0.660789242439877,-1.85947128247002,"ok",NA
45,-1.41248902449826,-0.647539484535057,-2.06002850903332,"ok",NA
46,0.321983412544885,-1.236805831768,-0.914822419223118,"ok",NA
47,0.274880711034615,-0.639367012767798,-0.364486301733183,"ok",NA
48,1.07258257097096,-0.717166502524979,0.355416068445985,"ok",NA
49,-1.37496430396247,-0.307347232135314,-1.68231153609778,"ok",NA
50,-1.12086050226123,-0.467574697632579,-1.58843519989381,"ok",NA
51,-1.5953490619295,0.530102574069268,-1.06524648786024,"ok",NA
52,0.38467500621586,-0.491206478916491,-0.106531472700631,"ok",NA
53,2.30115441149808,-1.72145140352709,0.579703007970987,"ok",NA
54,-0.393368192450721,-0.861684735138724,-1.25505292758945,"ok",NA
55,2.35509693929115,-2.32061478818325,0.0344821511079014,"ok",NA
56,-0.409998606630542,-0.193301775228759,-0.603300381859301,"ok",NA
57,-1.44889126702988,0.060455186517631,-1.38843608051225,"ok",NA
58,0.349472166381971,-1.07040059805485,-0.72092843167288,"ok",NA
59,-0.493079105921797,-1.98799318352576,-2.48107228944756,"ok",NA
60,-0.511250302154291,-0.185867195553294,-0.697117497707585,"ok",NA
61,-0.771100632184292,-0.567012074686148,-1.33811270687044,"ok",NA
62,-2.18506045536005,-0.761932256095161,-2.94699271145521,"ok",NA
63,-0.505050726597438,-0.544634993341216,-1.04968571993865,"ok",NA
64,-1.38548550013811,-0.312858211807952,-1.69834371194606,"ok",NA
65,-0.39740522756711,-0.714877165062366,-1.11228239262948,"ok",NA
66,-1.03511229554102,-0.411028060190823,-1.44614035573184,"ok",NA
67,-0.621596193329305,-0.388281967198898,-1.0098781605282,"ok",NA
68,0.950019391507313,-0.394193803791029,0.555825587716284,"ok",NA
69,0.854123729836978,-2.87132438637351,-2.01720065653653,"ok",NA
70,0.075447983638597,-0.793614423409571,-0.718166439770974,"ok",NA
71,-0.406020620860203,-0.164464604409859,-0.570485225270062,"ok",NA
72,-1.0112095587538,-0.939631546429879,-1.95084110518368,"ok",NA
73,-0.068075397211126,0.0323140342147721,-0.035761362996354,"ok",NA
74,-0.231744272633583,0.153751178167353,-0.0779930944662298,"ok",NA
75,-0.922272396982346,-0.28143735125639,-1.20370974823874,"ok",NA
76,-0.722846761063413,-0.956590445033902,-1.67943720609732,"ok",NA
77,-0.267687874761133,-0.600997305665509,-0.868685180426642,"ok",NA
78,0.0916665383673544,-0.524017108978283,-0.432350570610929,"ok",NA
79,1.34838986161412,-1.00995767732542,0.338432184288695,"ok",NA
80,-1.40216116989889,0.468148832666061,-0.934012337232832,"ok",NA
81,-1.38105153033498,-0.168088899432184,-1.54914042976716,"ok",NA
82,-0.965460601597706,0.326812534741605,-0.638648066856101,"ok",NA
83,-1.91927868740225,0.740668649054931,-1.17861003834732,"ok",NA
84,0.438170977858726,-1.74402555220255,-1.30585457434382,"ok",NA
85,-0.906250950530785,-0.199697488367889,-1.10594843889867,"ok",NA
86,-1.35939154984185,0.0746682215042961,-1.28472332833755,"ok",NA
87,-0.406556327930892,-0.284403235102232,-0.690959563033124,"ok",NA
88,-0.865975847997893,-1.19718963829059,-2.06316548628848,"ok",NA
89,0.859973006149544,-1.52145254162287,-0.66147953547333,"ok",NA
90,0.100660033153976,1.29554353296302,1.396203566117,"ok",NA
91,-0.108668403940311,-0.362267446909987,-0.470935850850297,"ok",NA
92,-0.292097336371344,-0.854606197932653,-1.146703534304,"ok",NA
93,-1.57968387229712,0.193802966984735,-1.38588090531239,"ok",NA
94,2.62863857153507,-3.50062295566588,-0.871984384130815,"ok",NA
95,-0.563551936282481,0.100083119188456,-0.463468817094025,"ok",NA
96,-0.536804170491503,0.150389923351919,-0.386414247139583,"ok",NA
97,0.64844571686139,-1.92125993084783,-1.27281421398645,"ok",NA
98,1.63111196482618,-0.776038934920627,0.855073029905552,"ok",NA
99,-1.32911740819282,0.0838399394201118,-1.2452774687727,"ok",NA
100,0.634531617871999,-0.541138948421579,0.0933926694504198,"ok",NA
