"SNP","Method","ID","alpha","alpha_se","beta","beta_se","p.joint","ide"
"PTEN","survHIMA_fixed","Mediator91",0.843078837193458,0.412201906896454,-0.165180853200604,0.235840207050171,0.483681845559596,-0.139260481642988
"PTEN","survHIMA_fixed","Mediator90",0.841180448122086,0.411850082455226,-0.202482974449345,0.236071945042753,0.391048624311406,-0.170324719184393
"PTEN","survHIMA_fixed","Mediator92",0.839841969343017,0.412052925902615,-0.160600164498341,0.236907132572319,0.497832907039095,-0.134878758429099
"PTEN","survHIMA_fixed","Mediator89",0.83624212319081,0.411203451863642,-0.157151709854193,0.236858689972087,0.507021275417705,-0.131416879511537
"PTEN","survHIMA_fixed","Mediator88",0.830107472455899,0.410445547321207,-0.157051347365354,0.237085926864253,0.507699690699007,-0.130369497007248
"PTEN","survHIMA_fixed","Mediator93",0.830413845530653,0.411315094367337,-0.162337048417276,0.239743876874712,0.498325389170653,-0.134806932648286
"PTEN","survHIMA_fixed","Mediator87",0.823776565225594,0.409676079449945,-0.155057051289553,0.237979067107617,0.514686657903607,-0.127732365125317
"PTEN","survHIMA_fixed","Mediator86",0.817469234388796,0.408916802838977,-0.153005542946893,0.238845239637671,0.521779110201298,-0.125077324050039
"PTEN","survHIMA_fixed","Mediator94",0.815665494479166,0.410106218954646,-0.149564583736956,0.243358860195667,0.538829152370719,-0.121994670150375
"PTEN","survHIMA_fixed","Mediator85",0.810898638649818,0.408141953184038,-0.155111469313592,0.239890236006542,0.517895060543952,-0.125779679305365
"PTEN","survHIMA_fixed","Mediator84",0.803601333478765,0.407309716545315,-0.152688679696165,0.240926266595445,0.526239496058822,-0.12270082661095
"PTEN","survHIMA_fixed","Mediator83",0.795225220019935,0.406390627112401,-0.145314357430173,0.242416086812983,0.548878249223403,-0.115557641859464
"PTEN","survHIMA_fixed","Mediator95",0.797679504397922,0.408658475252281,-0.148216878969617,0.24826559362035,0.55050114271164,-0.118229566559891
"PTEN","survHIMA_fixed","Mediator82",0.785695490258661,0.405383043503538,-0.146465918257613,0.243669885367265,0.547784452633749,-0.1150776114516
"PTEN","survHIMA_fixed","Mediator96",0.778509157550142,0.407182342741171,-0.134711747202684,0.256019933031832,0.598765376959451,-0.104874328826869
