"Gene","Basis","basis_index","parameter","estimate","std_error","statistic","p_value","hazard_ratio"
"PDGFRA","Basis1",1,"lambda",0.14543525648423,0.292497802988179,0.49721828676473,0.620981760131215,NA
"PDGFRA","Basis2",2,"lambda",-0.0878366473041023,0.361305661264374,-0.243108970384582,0.808809288027979,NA
"PDGFRA","Basis3",3,"lambda",0.0793726999705542,0.133300535238439,0.595441719934416,0.553947091968207,NA
"PDGFRA","Basis1",1,"beta",-0.215431606069103,0.595785305054966,-0.361592681526827,0.717656434425194,0.806193407108758
"PDGFRA","Basis2",2,"beta",0.252510057043106,0.493487214453575,0.511685104795883,0.60887141244636,1.28725244204299
"PDGFRA","Basis3",3,"beta",-0.346188366187476,0.587621615322386,-0.589134839768526,0.555770823753875,0.707379228227841
