"replicate","direct_effect","indirect_effect","total_effect","status","message"
1,NA,NA,NA,"failed","Non-finite estimate encountered for PIK3CA: alpha, direct_effect, total_effect"
2,1.91882186988508,-0.213412580443535,1.70540928944154,"ok",NA
3,1.34356696887968,-0.18705021300804,1.15651675587164,"ok",NA
4,0.905118879719123,0.0694609104983237,0.974579790217446,"ok",NA
5,1.6017104740279,-0.306491306887613,1.29521916714029,"ok",NA
6,0.915106197413812,0.463860732644422,1.37896693005823,"ok",NA
7,1.20167403041941,0.398413909626404,1.60008794004582,"ok",NA
8,2.25542757415054,0.039984510980353,2.29541208513089,"ok",NA
9,1.33494082779497,-0.0256846257553996,1.30925620203957,"ok",NA
10,1.55799895439821,-0.00971433547609851,1.54828461892212,"ok",NA
11,4.32737244428186,0.289729761950761,4.61710220623262,"ok",NA
12,1.52104049811344,0.185754543521151,1.70679504163459,"ok",NA
13,0.726076292820287,0.185844637681313,0.9119209305016,"ok",NA
14,2.55996589411615,-0.0676252879523575,2.49234060616379,"ok",NA
15,1.78910809998934,0.110029586784391,1.89913768677374,"ok",NA
16,1.25590899386376,0.0787010077125366,1.3346100015763,"ok",NA
17,1.15816947748041,0.060484836009632,1.21865431349004,"ok",NA
18,3.88519283422213,-0.265991959550528,3.6192008746716,"ok",NA
19,1.42577701646536,0.103863171872016,1.52964018833737,"ok",NA
20,0.929380181479906,-0.265226113343034,0.664154068136872,"ok",NA
21,1.21024023888589,0.329696491282816,1.5399367301687,"ok",NA
22,0.956784898572382,0.0619392773134881,1.01872417588587,"ok",NA
23,1.5687613733562,-0.193276066361243,1.37548530699496,"ok",NA
24,1.29411756760071,0.410584926288814,1.70470249388952,"ok",NA
25,2.96369889556303,0.474305377423073,3.4380042729861,"ok",NA
26,1.26990278360225,0.0377734472492099,1.30767623085146,"ok",NA
27,2.17734734841582,0.131546943190287,2.30889429160611,"ok",NA
28,0.694671368507448,0.0605446674226635,0.755216035930112,"ok",NA
29,0.803749703413171,-0.350529606139597,0.453220097273574,"ok",NA
30,0.977595789102541,0.194782919778281,1.17237870888082,"ok",NA
31,0.713887638643451,-0.0882093283227364,0.625678310320715,"ok",NA
32,1.2840774353286,-0.12031266396878,1.16376477135982,"ok",NA
33,1.49381112586266,0.32285652027043,1.81666764613309,"ok",NA
34,1.9392801208944,-0.0885405434900388,1.85073957740437,"ok",NA
35,0.882204766677631,-0.0996307403905978,0.782574026287033,"ok",NA
36,0.344400436486998,-0.0172634561991445,0.327136980287854,"ok",NA
37,2.62805448574977,-0.214800279417843,2.41325420633193,"ok",NA
38,2.35709632052217,0.256880574452502,2.61397689497467,"ok",NA
39,0.38803273784641,0.080759039604171,0.468791777450581,"ok",NA
40,0.613572681416638,0.158642414233037,0.772215095649676,"ok",NA
41,2.2560699458417,-0.0812251623682177,2.17484478347348,"ok",NA
42,1.96937158645421,0.0441606483981001,2.01353223485231,"ok",NA
43,1.38720893102531,0.0417035170374757,1.42891244806278,"ok",NA
44,0.723209632318454,0.0300936820532859,0.75330331437174,"ok",NA
45,1.35344113139192,-0.0190772414139345,1.33436388997798,"ok",NA
46,1.56206414033372,-0.0665174604252584,1.49554667990846,"ok",NA
47,0.60585969690899,0.168654422583704,0.774514119492694,"ok",NA
48,1.06374404510024,-0.0333816235434426,1.0303624215568,"ok",NA
49,1.62573802091494,-0.0794515909943352,1.54628642992061,"ok",NA
50,1.33574522065835,0.286883451793283,1.62262867245163,"ok",NA
51,2.85162963620231,-0.833387628535902,2.01824200766641,"ok",NA
52,-0.607806245828727,-0.0564073097195763,-0.664213555548303,"ok",NA
53,0.689980315734579,-0.114964524781199,0.57501579095338,"ok",NA
54,1.77173103431663,-0.0173054446376815,1.75442558967895,"ok",NA
55,1.27345861787198,0.138788513651484,1.41224713152347,"ok",NA
56,1.02094164766742,-0.14450164095895,0.876440006708469,"ok",NA
57,1.48747994911839,-0.131780134511724,1.35569981460666,"ok",NA
58,1.69131687868449,-0.199376476261306,1.49194040242318,"ok",NA
59,2.3327684531049,-0.491486383179539,1.84128206992537,"ok",NA
60,0.762877610581372,0.00702532473497819,0.769902935316351,"ok",NA
61,0.387955365149052,0.393160309043484,0.781115674192536,"ok",NA
62,1.75278487712314,0.0953327197919451,1.84811759691508,"ok",NA
63,1.52325180970013,0.269723164754531,1.79297497445466,"ok",NA
64,2.05533333866362,-0.353669536656252,1.70166380200736,"ok",NA
65,1.75245416015042,0.293515362606059,2.04596952275647,"ok",NA
66,0.87848558682263,0.00561385013720933,0.88409943695984,"ok",NA
67,1.53334240775642,0.18794273163532,1.72128513939174,"ok",NA
68,0.976017740327347,-0.0672876216943237,0.908730118633023,"ok",NA
69,1.18188561259884,-0.0565051631128002,1.12538044948604,"ok",NA
70,3.31511097646585,0.439237314233048,3.7543482906989,"ok",NA
71,0.90679712482447,-0.284702400549776,0.622094724274693,"ok",NA
72,4.28238670664753,0.442244900405274,4.7246316070528,"ok",NA
73,2.2570154553154,-0.52220477742043,1.73481067789497,"ok",NA
74,0.733163233116648,0.325407543884025,1.05857077700067,"ok",NA
75,1.19629861851654,0.00674693782863919,1.20304555634518,"ok",NA
76,0.711707026618297,0.345071440029935,1.05677846664823,"ok",NA
77,1.5981615309404,0.0460254314932932,1.6441869624337,"ok",NA
78,0.915704519725946,0.237906675923944,1.15361119564989,"ok",NA
79,0.867561256514761,0.131208180965388,0.998769437480149,"ok",NA
80,-0.128398142529126,-0.0318254959507545,-0.16022363847988,"ok",NA
81,1.3202083515198,0.101982425600852,1.42219077712065,"ok",NA
82,2.0386325396895,-0.638045027355166,1.40058751233433,"ok",NA
83,1.41241566295783,-0.00835581154111124,1.40405985141672,"ok",NA
84,1.56193942078881,-0.258979010359218,1.30296041042959,"ok",NA
85,0.348065372502708,-0.250277323114977,0.097788049387731,"ok",NA
86,1.36492336029975,-0.0929761322877066,1.27194722801204,"ok",NA
87,2.24885825700616,-0.495833371589234,1.75302488541692,"ok",NA
88,1.92332398338268,-0.445021013776938,1.47830296960574,"ok",NA
89,0.969312200447225,-0.380742794793833,0.588569405653391,"ok",NA
90,0.618460113652432,-0.120257134498841,0.498202979153591,"ok",NA
91,1.3272561305775,0.0665662999452876,1.39382243052279,"ok",NA
92,0.984050531497764,0.464055805518331,1.4481063370161,"ok",NA
93,1.59856465647643,-0.342890120699086,1.25567453577734,"ok",NA
94,0.32146944971195,0.0166379398425094,0.338107389554459,"ok",NA
95,1.64373701472241,0.145972370941032,1.78970938566344,"ok",NA
96,1.11620890304748,-0.539296819928041,0.576912083119436,"ok",NA
97,0.153686424091067,0.181580803419962,0.335267227511029,"ok",NA
98,0.223937839179294,0.280230593913888,0.504168433093182,"ok",NA
99,2.80825326024552,-0.145641247018397,2.66261201322712,"ok",NA
100,1.01806906212035,0.0236265728703535,1.0416956349907,"ok",NA
