"Gene","term","estimate","hazard_ratio","std_error","statistic","p_value"
"DDIT3","Exposure",2.47358096610232,11.8648585251296,0.627806411302493,3.9400377593635,8.14687850579768e-05
"DDIT3","Age",0.0263458519951243,1.0266959719274,0.0128245837039536,2.05432414831541,0.0399443290215639
"DDIT3","Gender",-0.135682176351176,0.873120086607431,0.324529337610944,-0.418089092807491,0.675881979320807
"DDIT3","Classical",0.588723045135038,1.80168627379277,0.396532050979825,1.48467959571064,0.137628719314176
"DDIT3","Mesenchymal",0.713277339637927,2.04066827426943,0.501352456058632,1.42270638353971,0.154821289327965
"DDIT3","Neural",0.682531947346154,1.97888181908509,0.538114141501833,1.26837764464108,0.204663121085723
"DDIT3","Proneural",0.158353290949947,1.17158003022301,0.615975364885232,0.257077311816604,0.797119091635919
"DDIT3","Basis1",-0.236105950733379,0.789697000523899,1.14734684665192,-0.205784285216246,0.836959417067686
"DDIT3","Basis2",-0.183736725783292,0.83215485990842,0.961689044001666,-0.191056274301253,0.848481504579222
"DDIT3","Basis3",0.124743153341675,1.13285744504709,1.15154217376171,0.108327038456768,0.913736275228027
"DDIT3","Basis4",-0.531591094394411,0.587669188266275,1.26907945222908,-0.418879285659141,0.675304356469529
"DDIT3","Basis5",0.954586464799097,2.5975961633284,1.6582320422897,0.575665190669573,0.564841508006005
