"grid","weight","RawBasis1","RawBasis2","RawBasis3","RawBasis4","RawBasis5","Basis1","Basis2","Basis3","Basis4","Basis5"
0,0.000488758553274682,1,0,0,0,0,-3.74163235994185,-2.1143021966391,-1.66241500832111,-1.17223324759101,-0.625481012821194
0.000977517106549365,0.000977517106549365,0.994146356364576,0.005847916001601,5.72576571040803e-06,1.86811279295531e-09,0,-3.71973017749198,-2.08173878491582,-1.6310611439471,-1.14793188730459,-0.61208554951395
0.00195503421309873,0.000977517106549365,0.988315600847091,0.0116615110349698,2.28731730369448e-05,1.49449023436425e-08,0,-3.69791363396485,-2.04934224177293,-1.59992768911745,-1.12382545574852,-0.59880209300217
0.00293255131964809,0.000977517106549365,0.982507688612838,0.0174408635608438,5.13973872725795e-05,5.04390454097934e-08,0,-3.67618256160547,-2.01711220156943,-1.56901406176003,-1.09991335435898,-0.585630283381406
0.00391006842619746,0.000977517106549365,0.976722574827111,0.0231860520399602,9.1253573710281e-05,1.1955921874914e-07,0,-3.65453679265885,-1.9850482986643,-1.53831967980251,-1.07619498457216,-0.572569760747093
0.00488758553274682,0.000977517106549365,0.970960214655202,0.0288971549330563,0.000142396897643019,2.33514099119414e-07,0,-3.63297615936999,-1.95315016741647,-1.5078439611726,-1.05266974782417,-0.559620165194712
0.00586510263929619,0.000977517106549365,0.965220563262404,0.0345742507008695,0.000204782524363761,4.03512363278347e-07,0,-3.61150049398391,-1.92141744218492,-1.477586323798,-1.02933704555114,-0.546781136819717
0.00684261974584555,0.000977517106549365,0.95950357581401,0.040217417804137,0.000278365619165478,6.40762687983672e-07,0,-3.59010962874562,-1.8898497573286,-1.44754618560643,-1.0061962791892,-0.534052315717574
0.00782013685239492,0.000977517106549365,0.953809207475313,0.0458267347035961,0.000363101347341138,9.5647374999312e-07,0,-3.56880339590012,-1.85844674720646,-1.41772296452559,-0.983246850174479,-0.521433341983746
0.00879765395894428,0.000977517106549365,0.948137413411606,0.0514022798599842,0.00045894487418371,1.36185422606442e-06,0,-3.54758162769243,-1.82720804617747,-1.38811607848319,-0.960488159943114,-0.508923855713697
0.00977517106549365,0.000977517106549365,0.942488148788182,0.0569441317340386,0.000565851364986164,1.86811279295531e-06,0,-3.52644415636756,-1.79613328860059,-1.35872494540693,-0.937919609931238,-0.496523497002891
0.010752688172043,0.000977517106549365,0.936861368770335,0.0624523687864965,0.000683775985041468,2.48645812742352e-06,0,-3.5053908141705,-1.76522210883476,-1.32954898322454,-0.915540601574982,-0.484231905946793
0.0117302052785924,0.000977517106549365,0.931257028523356,0.0679270694780953,0.000812673899642592,3.22809890622678e-06,0,-3.48442143334628,-1.73447414123895,-1.30058760986371,-0.893350536310479,-0.472048722640867
0.0127077223851417,0.000977517106549365,0.925675083212539,0.0733683122695723,0.000952500274082503,4.10424380612282e-06,0,-3.46353584613991,-1.70388902017212,-1.27184024325215,-0.871348815573862,-0.459973587180575
0.0136852394916911,0.000977517106549365,0.920115488003177,0.0787761756216648,0.00110321027365417,5.12610150386938e-06,0,-3.44273388479638,-1.67346637999322,-1.24330630131757,-0.849534840801263,-0.448006139661383
0.0146627565982405,0.000977517106549365,0.914578198060563,0.08415073799511,0.00126475906365057,6.30488067622418e-06,0,-3.42201538156071,-1.64320585506121,-1.21498520198768,-0.827908013428814,-0.436146020178754
0.0156402737047898,0.000977517106549365,0.90906316854999,0.0894920778506453,0.00143710180936466,7.65178999994496e-06,0,-3.40138016867792,-1.61310707973506,-1.18687636319019,-0.806467734892649,-0.424392868828153
0.0166177908113392,0.000977517106549365,0.903570354636751,0.094800273649008,0.00162019367608942,9.17803815178944e-06,0,-3.380828078393,-1.58316968837371,-1.1589792028528,-0.7852134066289,-0.412746325705043
0.0175953079178886,0.000977517106549365,0.898099711486138,0.100075403850935,0.00181398982911781,1.08948338085154e-05,0,-3.36035894295098,-1.55339331533613,-1.13129313890323,-0.7641444300737,-0.401206030904888
0.0185728250244379,0.000977517106549365,0.892651194263446,0.105317546917165,0.0020184454337428,1.28133856468805e-05,0,-3.33997259459685,-1.52377759498127,-1.10381758926918,-0.74326020666318,-0.389771624523152
0.0195503421309873,0.000977517106549365,0.887224758133966,0.110526781308433,0.00223351565525737,1.49449023436425e-05,0,-3.31966886557563,-1.4943221616681,-1.07655197187837,-0.722560137833474,-0.3784427466553
0.0205278592375367,0.000977517106549365,0.881820358262991,0.115703185485479,0.00245915565895448,1.73005925755591e-05,0,-3.29944758813233,-1.46502664975556,-1.04949570465849,-0.702043625020714,-0.367219037396795
0.021505376344086,0.000977517106549365,0.876437949815816,0.120846837909038,0.0026953206101271,1.98916650193882e-05,0,-3.27930859451195,-1.43589069360262,-1.02264820553725,-0.681710069661033,-0.356100136843101
0.0224828934506354,0.000977517106549365,0.871077487957732,0.125957817039848,0.00294196567406819,2.27293283518873e-05,0,-3.25925171695951,-1.40691392756824,-0.996008892442375,-0.661558873190563,-0.345085685089682
0.0234604105571848,0.000977517106549365,0.865738927854032,0.131036201338647,0.00319904601607074,2.58247912498142e-05,0,-3.23927678772001,-1.37809598601137,-0.96957718330156,-0.641589437045436,-0.334175322232003
0.0244379276637341,0.000977517106549365,0.860422224670011,0.136082069266172,0.0034665168014277,2.91892623899267e-05,0,-3.21938363903847,-1.34943650329097,-0.943352496042518,-0.621801162661787,-0.323368688365527
0.0254154447702835,0.000977517106549365,0.855127333570959,0.14109549928316,0.00374433319543205,3.28339504489825e-05,0,-3.19957210315989,-1.320935113766,-0.917334248592954,-0.602193451475747,-0.312665423585718
0.0263929618768328,0.000977517106549365,0.849854209722172,0.146076569850348,0.00403245036337675,3.67700641037394e-05,0,-3.17984201232929,-1.29259145179542,-0.891521858880579,-0.582765704923448,-0.30206516798804
0.0273704789833822,0.000977517106549365,0.84460280828894,0.151025359428474,0.00433082347055478,4.1008812030955e-05,0,-3.16019319879167,-1.26440515173818,-0.865914744833101,-0.563517324441023,-0.291567561667958
0.0283479960899316,0.000977517106549365,0.839373084436559,0.155941946478275,0.00463940768225911,4.55614029073871e-05,0,-3.14062549479203,-1.23637584795325,-0.840512324378227,-0.544447711464605,-0.281172244720935
0.0293255131964809,0.000977517106549365,0.834164993330319,0.160826409460489,0.00495815816378269,5.04390454097934e-05,0,-3.1211387325754,-1.20850317479957,-0.815314015443665,-0.525556267430326,-0.270878857242435
0.0303030303030303,0.000977517106549365,0.828978490135515,0.165678826835852,0.00528703008041851,5.56529482149317e-05,0,-3.10173274438678,-1.18078676663612,-0.790319235957124,-0.506842393774319,-0.260687039327922
0.0312805474095797,0.000977517106549365,0.823813530017439,0.170499277065102,0.00562597859745953,6.12143199995596e-05,0,-3.08240736247118,-1.15322625782184,-0.765527403846312,-0.488305491932716,-0.250596431072861
0.032258064516129,0.000977517106549365,0.818670068141385,0.175287838608976,0.00597495888019872,6.7134369440435e-05,0,-3.06316241907361,-1.12582128271569,-0.740937937038938,-0.469944963341651,-0.240606672572714
0.0332355816226784,0.000977517106549365,0.813548059672645,0.180044589928212,0.00633392609392905,7.34243052143156e-05,0,-3.04399774643908,-1.09857147567664,-0.716550253462709,-0.451760209437255,-0.230717403922947
0.0342130987292278,0.000977517106549365,0.808447459776512,0.184769609483546,0.00670283540394348,8.0095335997959e-05,0,-3.02491317681259,-1.07147647106364,-0.692363771045334,-0.433750631655661,-0.220928265219023
0.0351906158357771,0.000977517106549365,0.80336822361828,0.189462975735717,0.007081641975535,8.7158670468123e-05,0,-3.00590854243916,-1.04453590323565,-0.668377907714521,-0.415915631433002,-0.211238896556406
0.0361681329423265,0.000977517106549365,0.79831030636324,0.194124767145461,0.00747030097399656,9.46255173015654e-05,0,-2.9869836755638,-1.01774940655162,-0.644592081397978,-0.398254610205409,-0.201648938030561
0.0371456500488759,0.000977517106549365,0.793273663176687,0.198755062173517,0.00786876756462113,0.000102507085175044,0,-2.96813840843151,-0.991116615370515,-0.621005710023414,-0.380766969409017,-0.19215802973695
0.0381231671554252,0.000977517106549365,0.788258249223913,0.20335393928062,0.00827699691270169,0.000110814582765316,0,-2.9493725732873,-0.964637164051293,-0.597618211518536,-0.363452110479958,-0.182765811771039
0.0391006842619746,0.000977517106549365,0.783264019670211,0.207921476927508,0.0086949441835312,0.00011955921874914,0,-2.9306860023762,-0.93831068695291,-0.574429003811054,-0.346309434854363,-0.17347192422829
0.040078201368524,0.000977517106549365,0.778290929680875,0.212457753574919,0.00912256454240264,0.000128752201803273,0,-2.91207852794319,-0.912136818434326,-0.551437504828674,-0.329338343968366,-0.164276007204169
0.0410557184750733,0.000977517106549365,0.773338934421196,0.216962847683591,0.00955981315460896,0.000138404740604473,0,-2.8935499822333,-0.886115192854497,-0.528643132499106,-0.312538239258099,-0.15517770079414
0.0420332355816227,0.000977517106549365,0.768407989056468,0.221436837714259,0.0100066451854432,0.000148528043829498,0,-2.87510019749153,-0.860245444572381,-0.506045304750057,-0.295908522159694,-0.146176645093665
0.043010752688172,0.000977517106549365,0.763498048751984,0.225879802127662,0.0104630158001982,0.000159133320155105,0,-2.85672900596289,-0.834527207946936,-0.483643439509237,-0.279448594109285,-0.137272480198209
0.0439882697947214,0.000977517106549365,0.758609068673038,0.230291819384537,0.010928880164167,0.000170231778258053,0,-2.83843623989239,-0.808960117337121,-0.461436954704352,-0.263157856543004,-0.128464846203236
0.0449657869012708,0.000977517106549365,0.753741003984921,0.234672967945621,0.0114041934426426,0.000181834626815098,0,-2.82022173152504,-0.783543807101893,-0.439425268263111,-0.247035710896983,-0.119753383204211
0.0459433040078201,0.000977517106549365,0.748893809852927,0.239023326271652,0.0118889108009179,0.000193953074502999,0,-2.80208531310585,-0.75827791160021,-0.417607798113223,-0.231081558607355,-0.111137731296597
0.0469208211143695,0.000977517106549365,0.744067441442349,0.243342972823367,0.0123829874042859,0.000206598329998514,0,-2.78402681687983,-0.733162065191029,-0.395983962182396,-0.215294801110253,-0.102617530575857
0.0478983382209189,0.000977517106549365,0.73926185391848,0.247631986061502,0.0128863784180396,0.000219781601978399,0,-2.76604607509199,-0.70819590223331,-0.374553178398338,-0.199674839841809,-0.0941924211374571
0.0488758553274682,0.000977517106549365,0.734477002446612,0.251890444446796,0.013399039007472,0.000233514099119414,0,-2.74814291998734,-0.683379057086008,-0.353314864688756,-0.184221076238154,-0.0858620430768597
0.0498533724340176,0.000977517106549365,0.72971284219204,0.256118426439986,0.0139209243378759,0.000247807030098315,0,-2.73031718381088,-0.658711164108084,-0.33226843898136,-0.168932911735424,-0.0776260364895297
0.050830889540567,0.000977517106549365,0.724969328320055,0.260316010501809,0.0144519895745445,0.00026267160359186,0,-2.71256869880763,-0.634191857658494,-0.311413319203858,-0.15380974776975,-0.0694840414709307
0.0518084066471163,0.000977517106549365,0.72024641599595,0.264483275093002,0.0149921898827706,0.000278119028276808,0,-2.69489729722259,-0.609820772096196,-0.290748923283957,-0.138850985777263,-0.0614356981165266
