"Gene","direct_effect","direct_effect_hr","direct_bootstrap_se","direct_ci_low","direct_ci_high","direct_p_value","indirect_effect","indirect_effect_hr","indirect_bootstrap_se","indirect_ci_low","indirect_ci_high","indirect_p_value","total_effect","total_effect_hr","total_bootstrap_se","total_ci_low","total_ci_high","total_p_value","bootstrap_attempted","bootstrap_failed","bootstrap_valid"
"DDIT3",2.47358096610232,11.8648585251296,0.906372832782549,1.02974814007598,4.66497679200263,0.01,-0.273315068312126,0.760853029181093,0.477327125907009,-1.08622527011866,0.571263319444003,0.48,2.20026589779019,9.02741354964994,0.83812444765454,1.12360715597491,4.38829810365443,0.01,100,0,100
"EGFR",0.443430612019288,1.5580431019974,0.6995771938349,-0.873892676608151,1.64332674606627,0.58,-0.175359293916711,0.839155463145459,0.284644186759513,-0.819230084787666,0.323602378625859,0.4,0.268071318102577,1.30744038085721,0.61626635355373,-0.858819617365079,1.28288003202085,0.74,100,0,100
"KIT",-0.179595174198053,0.835608418797368,2.71872174591283,-2.30389402997137,3.53816272184399,0.8,-0.157149038408767,0.854576684576855,0.545417262883427,-1.06916441723707,0.841084550949587,0.56,-0.33674421260682,0.714091472140363,2.66940031202246,-2.33576993419307,2.72798320751426,0.96,100,0,100
"MDM4",-0.227253030496247,0.796719162538176,0.981435312461601,-2.39479798458427,1.49635951919468,0.727272727272727,0.185507277750976,1.20382896091065,0.660275918978168,-0.938634495452417,1.64458795083031,0.98989898989899,-0.041745752745271,0.959113601575935,0.596038563130289,-1.55780859905669,0.815837631913636,0.848484848484849,100,1,99
"PDGFRA",0.107172470674375,1.11312621955443,2.15438345180098,-2.07335753634048,4.3430409721408,0.7,-0.0741251271516483,0.928555499067133,0.448285523792052,-0.898911655110489,0.974170206998257,0.86,0.0330473435227263,1.03359947232307,2.14276398194882,-1.8867560474187,4.28810546782946,0.9,100,0,100
"PIK3CA",1.13518425376435,3.11174684115652,0.961025347940215,-0.00489984562319755,3.73281300125292,0.0606060606060606,0.028953687088395,1.02937691992886,0.36263909352238,-0.954616189808399,0.475448302395787,0.96969696969697,1.16413794085275,3.20316037894807,0.879878453742212,0.0322041259367846,3.82761423642443,0.0404040404040404,100,1,99
"PTEN",-0.765131047235889,0.465272954244397,0.926440601373468,-2.64199196001629,1.18135254554769,0.42,-0.0700495693730887,0.932347602874308,0.459816565847087,-0.969932054964166,0.87506624520633,0.78,-0.835180616608978,0.433796123572011,0.71722534841225,-2.23689835164042,0.622975841454183,0.28,100,0,100
