"Gene","term","estimate","hazard_ratio","std_error","statistic","p_value"
"PIK3CA","Exposure",1.25728372411539,3.51585846378112,0.593088323766565,2.11989289576749,0.0340150786578201
"PIK3CA","Age",0.0294532088759033,1.02989124457542,0.0127709477658607,2.30626648984014,0.0210957463604366
"PIK3CA","Gender",-0.0786072883010695,0.924402876996887,0.342638536106521,-0.22941753485846,0.818544408723936
"PIK3CA","Classical",0.730748370149235,2.07663411728577,0.41027313791316,1.78112652918532,0.0748917827009532
"PIK3CA","Mesenchymal",0.703470657009581,2.02075389475237,0.502233546622111,1.40068432652685,0.161308491664027
"PIK3CA","Neural",1.16916815280957,3.21931354745622,0.53491383280859,2.18571306460854,0.0288366044651648
"PIK3CA","Proneural",0.935771736624164,2.54917999438048,0.62703521051949,1.49237510258617,0.135600838227072
"PIK3CA","Basis1",-3.7886143132333,0.022626933980838,1.71808023366094,-2.20514399677388,0.0274439915743356
"PIK3CA","Basis2",-5.25859672898419,0.00520260025684672,1.9075328559314,-2.7567528981914,0.00583784493425034
"PIK3CA","Basis3",-5.15515826188983,0.00576956690027734,1.70806866149097,-3.01812121380992,0.00254347147429947
"PIK3CA","Basis4",-5.71497548360416,0.00329623133237592,1.74169406928316,-3.28127401039857,0.0010333929877703
"PIK3CA","Basis5",-4.44914577320817,0.0116885473773504,1.53894136173458,-2.891043079246,0.00383965483468556
"PIK3CA","Basis6",-0.868898913096244,0.419413105371894,2.27850509445741,-0.381346047989925,0.702946489083074
"PIK3CA","Basis7",2.25668260536354,9.55135095136146,2.72622793105354,0.827767399658124,0.407802240469585
