"Gene","term","estimate","hazard_ratio","std_error","statistic","p_value"
"PTEN","Exposure",-0.702104842821182,0.495541169034884,0.531677870848811,-1.32054554330104,0.186652940792666
"PTEN","Age",0.026403842876455,1.02675551265806,0.0123991928839093,2.1294807753753,0.0332145037755893
"PTEN","Gender",-0.017772024021519,0.982384967005569,0.30858451066539,-0.0575920806368336,0.954073557940319
"PTEN","Classical",0.430276750311674,1.53768301892232,0.362146396129327,1.18812931706772,0.234782465690743
"PTEN","Mesenchymal",0.788462267931398,2.20001079667417,0.478109546630967,1.64912471103611,0.0991220881011011
"PTEN","Neural",1.15655975500891,3.17897797939836,0.533178730334493,2.16917834341091,0.0300691466497004
"PTEN","Proneural",0.625218367836058,1.86865396680561,0.608705290440963,1.02712819759318,0.304360102606181
"PTEN","Basis1",-0.372409616499819,0.689071929476253,0.610601588797314,-0.609906071868146,0.541924030100765
"PTEN","Basis2",0.0674804653457329,1.06980936103778,0.514766593253957,0.131089441758785,0.895704553342014
"PTEN","Basis3",-0.439089045374616,0.644623376344058,0.598638526934276,-0.733479429770852,0.463266069422911
