"SNP_model","term","coefficient","HR_per_unit"
"rs2515029","SNP",-0.0285540452846142,0.971849768829418
"rs2515029","male",-0.329756883157549,0.719098537147964
"rs2515029","age_z",0.000435413933283924,1.00043550873969
"rs2515029","handedness",0.205924879656827,1.22866090309983
"rs2515029","APOE4",0.548084003255507,1.72993529012052
"rs2515029","PC1",0.0241834457180618,1.02447823679942
"rs2515029","PC2",-0.0027395338787364,0.997264215219824
"rs2515029","education_years",-0.0432622659720947,0.957660195446475
"rs2515029","FPC01",-5.648071507671,0.00352430682420427
"rs2515029","FPC02",0.0341189675669724,1.03470769606328
"rs2515029","FPC03",1.15028067328513,3.15907945447769
"rs2515029","FPC04",1.2332440274282,3.43234612024622
"rs2515029","FPC05",-5.31126828957647,0.0049356628965453
"rs2515029","FPC06",-4.49336899852422,0.0111829050837047
"rs2515029","FPC07",-5.60608635605391,0.00367542555385511
"rs2515029","FPC08",7.86396959714318,2601.82811253772
"rs2515029","FPC09",-2.69799314917073,0.0673405196027295
"rs2515029","FPC10",4.43874845748704,84.6689085965816
"rs2515029","FPC11",-2.03479632950903,0.130707100972663
"rs2515029","FPC12",-2.75397833753444,0.0636740398253094
"rs2515029","FPC13",-11.8970505500178,6.81046233150947e-06
"rs2515029","FPC14",-6.8365455137176,0.00107380644953943
"rs2515029","FPC15",1.49400929058634,4.45492083385459
"rs2515029","FPC16",-3.63613703947201,0.0263539518614866
"rs2515029","FPC17",12.6857443655611,323108.792881782
"rs2515029","FPC18",2.13989350806966,8.49853255555861
