"SNP_model","term","coefficient","HR_per_unit"
"rs4639533","SNP",-0.15751794830445,0.854261480925743
"rs4639533","male",-0.334972706603157,0.715357610625268
"rs4639533","age_z",0.00315812065076261,1.00316311276764
"rs4639533","handedness",0.147852522181952,1.15934190653993
"rs4639533","APOE4",0.544280682287502,1.7233682870846
"rs4639533","PC1",0.0340217297916673,1.03460708828034
"rs4639533","PC2",-0.0180251523649681,0.982136328996233
"rs4639533","education_years",-0.04364842195315,0.957290460626435
"rs4639533","FPC01",-5.96591079914528,0.00256470760978061
"rs4639533","FPC02",0.249916626093526,1.28391836693538
"rs4639533","FPC03",1.03096131353933,2.80375983189104
"rs4639533","FPC04",1.45354847952836,4.2782689614725
"rs4639533","FPC05",-5.39441928556882,0.00454185715511969
"rs4639533","FPC06",-4.51406235032337,0.0109538712068811
"rs4639533","FPC07",-5.92342957952494,0.00267600684305244
"rs4639533","FPC08",7.9040792784238,2708.30776650017
"rs4639533","FPC09",-2.74543996686231,0.064220040038515
"rs4639533","FPC10",4.13290719383275,62.3589492206013
"rs4639533","FPC11",-2.19043953272866,0.111867568352386
"rs4639533","FPC12",-2.70163293839149,0.0670958598304659
"rs4639533","FPC13",-12.1410369055318,5.33598582663764e-06
"rs4639533","FPC14",-6.30036637083384,0.00183563213174289
"rs4639533","FPC15",1.97405378963293,7.19980390066919
"rs4639533","FPC16",-3.66224949675992,0.0256746925798555
"rs4639533","FPC17",12.8501262312135,380836.805837439
"rs4639533","FPC18",1.27585982825945,3.58177980196062
