"grid","alpha_coordinate_1","alpha_coordinate_2","beta_coordinate_1","beta_coordinate_2","indirect_integrand_coordinate_1","indirect_integrand_coordinate_2","indirect_integrand_total"
0,0.00912736916620723,-0.0130405919238156,-39.3070205777342,1.2187455368893,-0.358769687636684,-0.0158931632055449,-0.374662850842229
0.0101010101010101,0.00310351635244136,-0.0118215194179062,-44.5344167157405,5.48171277786222,-0.138213290523739,-0.0648021740468827,-0.203015464570621
0.0202020202020202,-0.00606992914503174,-0.0130047096100338,-51.5078196221716,7.6538647414722,0.312648815521657,-0.0995362883573222,0.213112527164335
0.0303030303030303,-0.0140197292327547,-0.0156450229194111,-51.4315507407691,1.62338672257229,0.721056415406267,-0.0253979224817111,0.695658492924555
0.0404040404040404,-0.0166201397680774,-0.0179192165446565,-48.0011214472219,-11.0477782623774,0.797785347477285,0.197967531020889,0.995752878498175
0.0505050505050505,-0.0176306644438179,-0.019181004922008,-43.2817610101252,-26.9434777375987,0.763086204907038,0.516802979100892,1.27988918400793
0.0606060606060606,-0.0203617180386103,-0.0220386582258757,-25.5277628697228,-34.981183368266,0.519789109709801,0.770938344589903,1.2907274542997
0.0707070707070707,-0.0261940408839246,-0.0281923089058982,-1.64706858730097,-25.6483432994371,0.0431433819143895,0.723086017222255,0.766229399136644
0.0808080808080808,-0.031371436453828,-0.0325518676552755,13.8509285664586,-1.2685304132054,-0.434523525349166,0.0412930341273542,-0.393230491221812
0.0909090909090909,-0.0317909363979861,-0.030091260913955,19.5740026024528,22.9485045499605,-0.622275871788592,-0.690549437997946,-1.31282530978654
0.101010101010101,-0.0275459645997728,-0.0228979858196202,17.5206751272859,34.8711534889184,-0.482623896820338,-0.798479178103052,-1.28110307492339
0.111111111111111,-0.0214535780281633,-0.0150902545130423,6.49699907247787,27.6013498024082,-0.139383876550309,-0.416511393421849,-0.555895269972158
0.121212121212121,-0.0164163473473932,-0.010122892867954,-11.6090201293936,9.58910113535591,0.190577706807004,-0.0970694434931839,0.0935082633138201
0.131313131313131,-0.0136981149235796,-0.00832501874225565,-28.3969167642174,-6.17686835115328,0.388984229311575,0.0514225447917968,0.440406774103372
0.141414141414141,-0.0134232446101528,-0.00848300125071104,-38.2150214413774,-13.567594392708,0.512969580589841,0.115093920202482,0.628063500792324
0.151515151515152,-0.014873469115279,-0.00944728765589706,-38.209484789766,-17.0554453444394,0.568307591931307,0.16112769826835,0.729435290199657
0.161616161616162,-0.0147384461001052,-0.0111367143334332,-28.8004030728407,-18.5680303447096,0.424473188350367,0.20678684968355,0.631260038033917
0.171717171717172,-0.0104362434564007,-0.0125232798391047,-14.8140104238778,-13.2667532132627,0.154602619349246,0.16614326304603,0.320745882395277
0.181818181818182,-0.00442728388693482,-0.00966379948481467,0.671772470905612,-2.25203626716192,-0.0029741274361268,0.0217632269183833,0.0187890994822565
0.191919191919192,0.00130502554718612,-0.00516338207836296,15.3066872474161,8.29492375014824,0.019975617900666,-0.0428298606329027,-0.0228542427322367
0.202020202020202,0.00540406470129851,-0.00261347579294791,24.3575488697716,13.2015931855361,0.131629770057286,-0.0345020442187447,0.0971277258385417
0.212121212121212,0.00716691646246873,-0.00178865766937,24.7515299928566,15.0711742694175,0.177392147777093,-0.0269571714434055,0.150434976333687
0.222222222222222,0.00664196100462992,-0.00193010325133853,19.3337967773621,15.5397174243652,0.128414324266679,-0.0299932591256491,0.0984210651410297
0.232323232323232,0.00569124064785955,-0.00340375227680839,11.9966183521012,17.0174094358078,0.0682756420023361,-0.0579230461125112,0.0103525958898249
0.242424242424242,0.00461337336279902,-0.00476235697059323,5.11555944473337,19.1595151503319,0.0235999856781479,-0.0912444505293696,-0.0676444648512217
0.252525252525253,0.00293001678197013,-0.00422291796453942,0.113041850417284,16.7569046936137,0.0003312145187876,-0.0707630338607363,-0.0704318193419487
0.262626262626263,-7.62925814185665e-05,-0.00149584979436161,-3.73374933000376,12.5005029984545,0.00028485737475583,-0.0186988748396549,-0.018414017464899
0.272727272727273,-0.00249245716350539,0.00107601774105391,-6.49349697754953,10.4877079153053,0.0161847630578939,0.01128495977986,0.0274697228377539
0.282828282828283,-0.0023182212611337,0.00136796766522077,-8.29623787252613,9.09755223193707,0.0192325150235127,0.0124451572859469,0.0316776723094596
0.292929292929293,-7.43940331471198e-05,0.000537400197604196,-12.0876391266076,7.37107943083383,0.000899248225855266,0.00396121954268632,0.00486046776854159
0.303030303030303,0.00269514035402504,0.000389045004043224,-17.0882022952672,9.23403511712566,-0.046055103583718,0.00359245522947743,-0.0424626483542405
0.313131313131313,0.00374400630877739,0.00157376717201275,-18.9200428248307,12.8804887088159,-0.0708367596985047,0.0202708902894154,-0.0505658694090893
0.323232323232323,0.00390799442008541,0.00272497126474188,-16.7217343201189,11.5519693435488,-0.0653484444171756,0.0314787845123497,-0.0338696599048259
0.333333333333333,0.00482752132667793,0.00256881331765264,-11.4744169802214,9.64762812184755,-0.055392992683214,0.0247829556031621,-0.0306100370800519
0.343434343434343,0.0078865328936306,0.00204671592657047,-3.95749406859897,13.0183327549885,-0.0312109071483537,0.026644828987029,-0.0045660781613247
0.353535353535354,0.0133363763525263,0.00157893937015227,5.98596875217006,21.3491034165643,0.0798311321134021,0.0337089399018659,0.113540072015268
0.363636363636364,0.0178513583978176,-0.00140767945188498,16.0962696013251,29.8355376170628,0.28734027752115,-0.0419988732394807,0.24534140428167
0.373737373737374,0.0198248376766276,-0.0053353127965425,21.4250463393128,30.9437605152826,0.4247480658911,-0.165094641450334,0.259653424440766
0.383838383838384,0.0189662777957949,-0.00760659745143157,21.697323212548,18.0167793007866,0.411517459474333,-0.137046387512369,0.274471071961964
0.393939393939394,0.0169327210956446,-0.00740368987063996,12.7087208365145,-1.00074722805795,0.215193225407108,0.00740922211544364,0.222602447522551
0.404040404040404,0.0138831988025233,-0.00672247046294184,-3.49219428373889,-12.4581342861657,-0.0484828274981826,0.083749439762112,0.0352666122639294
0.414141414141414,0.00976396003595492,-0.00811610089144818,-18.9156525921637,-17.0826919657487,-0.184691675963893,0.138644851491547,-0.0460468244723459
0.424242424242424,0.00578735833867986,-0.0138401008626785,-29.5541634290039,-22.1888136482367,-0.171040534163553,0.307095418914774,0.136054884751221
0.434343434343434,0.00205401332896228,-0.0227476705683839,-34.2484932490686,-31.4403168510299,-0.0703468616304617,0.715193970292838,0.644847108662376
0.444444444444444,-0.00526118063917332,-0.0242732176446499,-23.9825561220447,-35.6637991088549,0.126176559947189,0.865675157804307,0.991851717751496
0.454545454545455,-0.0142623298144536,-0.0200946148892147,-18.0484376902622,-21.0463858308777,0.257412770974135,0.42291901808131,0.680331789055445
0.464646464646465,-0.0216271815967012,-0.0153085235927293,-0.122395881398186,-25.0876872043159,0.00264707795368689,0.384055451454283,0.38670252940797
0.474747474747475,-0.0254773074176512,-0.0131153848302252,11.9443507335151,-27.3071733441496,-0.304309895542013,0.358144087034191,0.0538341914921787
0.484848484848485,-0.0253358072119908,-0.0142332828981912,18.2986031230721,-29.9200193102771,-0.463609880974887,0.425860099162518,-0.0377497818123689
0.494949494949495,-0.0239874234772306,-0.0131534358137483,17.297181326579,-30.1874303466251,-0.414914813443097,0.39706842744633,-0.017846385996767
0.505050505050505,-0.0216548815375673,-0.00958412234611058,9.41758879051409,-25.8702466274132,-0.203936769628105,0.247943608801183,0.044006839173078
0.515151515151515,-0.0178995703603656,-0.00471910121220381,0.733235354775156,-22.6537187217065,-0.0131245978235055,0.10690519148053,0.0937805936570241
0.525252525252525,-0.0131200446740411,0.00085133779737071,-4.20106410801642,-20.6305672696734,0.0551181487756861,-0.017563581697872,0.0375545670778141
