"SNP_model","term","coefficient","HR_per_unit"
"rs11719939","SNP",0.0558693857529159,1.05745955543239
"rs11719939","male",-0.336961081424537,0.71393662475845
"rs11719939","age_z",-0.000510652866677668,0.999489477494307
"rs11719939","handedness",0.206754688465934,1.22968087987496
"rs11719939","APOE4",0.548090303887104,1.72994618983981
"rs11719939","PC1",0.0260712329067651,1.02641406032649
"rs11719939","PC2",-0.00835798619703943,0.991676844663429
"rs11719939","education_years",-0.0430665860246903,0.957847608679059
"rs11719939","FPC01",-5.66532060323772,0.00346403701319095
"rs11719939","FPC02",-0.0491626664096452,0.95202625440965
"rs11719939","FPC03",1.0904635751683,2.97565319180483
"rs11719939","FPC04",1.32098417747264,3.74710738179477
"rs11719939","FPC05",-5.26894868788895,0.00514902095662289
"rs11719939","FPC06",-4.43128907824994,0.0118991408583302
"rs11719939","FPC07",-5.68123373755485,0.00340934960498301
"rs11719939","FPC08",7.95401393820923,2846.97964667387
"rs11719939","FPC09",-2.64416142394457,0.0710649221019007
"rs11719939","FPC10",4.57229756260364,96.7661809225564
"rs11719939","FPC11",-1.87249332286321,0.153739860434575
"rs11719939","FPC12",-2.83511306496075,0.0587118872013591
"rs11719939","FPC13",-12.1521039649296,5.27725772764472e-06
"rs11719939","FPC14",-7.05076401887623,0.000866746493589826
"rs11719939","FPC15",1.2826307200757,3.60611393443213
"rs11719939","FPC16",-3.52118567377493,0.0295643606914133
"rs11719939","FPC17",12.9733042891838,430759.103908558
"rs11719939","FPC18",2.27242045045816,9.70285770087213
