"SNP_model","term","coefficient","HR_per_unit"
"rs929708","SNP",-0.117951766723508,0.88873891837081
"rs929708","male",-0.306647867521956,0.735909692991017
"rs929708","age_z",-0.0087649635095572,0.991273336801144
"rs929708","handedness",0.188356605589597,1.20726395567104
"rs929708","APOE4",0.550074302344627,1.73338180741508
"rs929708","PC1",0.0270332277585275,1.02740194045991
"rs929708","PC2",0.00745002230247357,1.0074778427634
"rs929708","education_years",-0.0451522850307646,0.955851908811745
"rs929708","FPC01",-5.77128045182888,0.00311576537136903
"rs929708","FPC02",0.297980196730722,1.34713510993606
"rs929708","FPC03",1.30077152000754,3.67212869575462
"rs929708","FPC04",1.16986636719583,3.22156210338465
"rs929708","FPC05",-5.52127022641745,0.00400076283851028
"rs929708","FPC06",-4.09234561026541,0.0167000158532177
"rs929708","FPC07",-5.50809244732243,0.00405383291227902
"rs929708","FPC08",7.63609886003685,2071.64624999539
"rs929708","FPC09",-2.60551842922793,0.0738648335809123
"rs929708","FPC10",4.41469008404685,82.6562204548743
"rs929708","FPC11",-2.22636090745242,0.107920448908227
"rs929708","FPC12",-2.75599575147286,0.0635457124181246
"rs929708","FPC13",-11.9491492169518,6.46473060123155e-06
"rs929708","FPC14",-6.63789474210337,0.00130978177174103
"rs929708","FPC15",2.16856920732841,8.7457617126835
"rs929708","FPC16",-3.4100164178887,0.0330406579135896
"rs929708","FPC17",11.9359857826566,152662.637576029
"rs929708","FPC18",2.1169055158913,8.30539676279743
