"grid","weight","RawBasis1","RawBasis2","RawBasis3","RawBasis4","RawBasis5","RawBasis6","RawBasis7","RawBasis8","RawBasis9","Basis1","Basis2","Basis3","Basis4","Basis5","Basis6","Basis7","Basis8","Basis9"
0,0.000488758553274682,1,0,0,0,0,0,0,0,0,-6.48035060399167,-3.66120241269977,-2.19328587987792,-1.27845441815911,-0.715712616469928,-0.389881182403342,-0.257099285941755,-0.158413738553352,-0.0781254632463878
0.000977517106549365,0.000977517106549365,0.982507688612838,0.0174408635608438,5.14142002877161e-05,3.36260302731956e-08,0,0,0,0,0,-6.36699429332867,-3.49288442338905,-2.07254899014729,-1.20435436189736,-0.673688123990497,-0.366919365991592,-0.241946430759084,-0.14907453868699,-0.0735192139793467
0.00195503421309873,0.000977517106549365,0.965220563262403,0.0345742507008694,0.000204917028484854,2.69008242185565e-07,0,0,0,0,0,-6.2549676601227,-3.32715599574992,-1.95427952647518,-1.13189411240185,-0.632611292368736,-0.344477575635408,-0.22713710753371,-0.139947153997817,-0.0690174484519898
0.00293255131964809,0.000977517106549365,0.948137413411606,0.0514022798599842,0.000459398825592398,9.07902817376281e-07,0,0,0,0,0,-6.144262859669,-3.16400003207367,-1.83845870477918,-1.0610598535654,-0.592473955484785,-0.322551307609978,-0.212668337465268,-0.131029746957136,-0.0646192601216556
0.00391006842619746,0.000977517106549365,0.931257028523356,0.0679270694780953,0.000813749932611334,2.15206593748452e-06,0,0,0,0,0,-6.03487204726282,-3.00339943465157,-1.72506774097687,-0.991837769281166,-0.553267947219163,-0.30113605819073,-0.198537141753564,-0.122320480036362,-0.0603237424457358
0.00488758553274682,0.000977517106549365,0.914578198060563,0.08415073799511,0.00126686069054264,4.20325378414945e-06,0,0,0,0,0,-5.92678737819939,-2.8453371057749,-1.61408785098585,-0.924214043442093,-0.51498510145199,-0.280227323652762,-0.184740541598157,-0.113817515706738,-0.0561299888815422
0.00586510263929619,0.000977517106549365,0.898099711486138,0.100075403850935,0.00181762144038732,7.26322253901025e-06,0,0,0,0,0,-5.82000100777394,-2.68979594773493,-1.50550025072369,-0.858174859941172,-0.477617252063601,-0.259820600271457,-0.171275558198885,-0.105519016439692,-0.052037092886468
0.00684261974584555,0.000977517106549365,0.881820358262991,0.115703185485479,0.00246492252314633,1.15337283837061e-05,0,0,0,0,0,-5.71450509128173,-2.53675886282292,-1.39928615610799,-0.793706402671395,-0.44115623293428,-0.239911384322052,-0.158139212755356,-0.097423144706571,-0.0480441479178885
0.00782013685239492,0.000977517106549365,0.865738927854032,0.131036201338647,0.00320765427982068,1.72165274998762e-05,0,0,0,0,0,-5.61029178401798,-2.38620875333016,-1.29542678305633,-0.730794855525756,-0.405593877944314,-0.22049517207982,-0.145328526467288,-0.0895280629786651,-0.0441502474331137
0.00879765395894428,0.000977517106549365,0.849854209722172,0.146076569850348,0.00404470705141133,2.45133760691596e-05,0,0,0,0,0,-5.50735324127794,-2.23812852154792,-1.1939033474863,-0.669426402397246,-0.37092202097399,-0.201567459820031,-0.132840520534381,-0.0818319337273404,-0.0403544848895275
0.00977517106549365,0.000977517106549365,0.834164993330319,0.160826409460489,0.00497497117891929,3.36260302731956e-05,0,0,0,0,0,-5.40568161835684,-2.09250106976746,-1.09469706531548,-0.609587227178858,-0.337132495903593,-0.183123743817958,-0.12067221615633,-0.0743329194239413,-0.0366559537444841
0.010752688172043,0.000977517106549365,0.818670068141385,0.175287838608976,0.00599733700334553,4.47562462936234e-05,0,0,0,0,0,-5.30526907054993,-1.94930930028006,-0.997789152461461,-0.551263513763587,-0.30421713661341,-0.16515952034887,-0.108820634532833,-0.0670291825398114,-0.033053747455342
0.0117302052785924,0.000977517106549365,0.80336822361828,0.189462975735717,0.00711069486569104,5.8105780312082e-05,0,0,0,0,0,-5.20610775315244,-1.80853611537699,-0.903160824841831,-0.494441446044423,-0.272167776983729,-0.147670285688039,-0.0972827968635875,-0.0599188855462943,-0.0295469594794594
0.0127077223851417,0.000977517106549365,0.788258249223913,0.20335393928062,0.00831393510695679,7.38763885102107e-05,0,0,0,0,0,-5.1081898214596,-1.67016441734952,-0.810793298374176,-0.439107207914359,-0.240976250894835,-0.130651536110735,-0.0860557243482898,-0.0530001909147337,-0.0261346832741945
0.0136852394916911,0.000977517106549365,0.773338934421196,0.216962847683591,0.00960594806814379,9.22698270696487e-05,0,0,0,0,0,-5.01150743076667,-1.53417710848894,-0.72066778897608,-0.38524698326639,-0.210634392227015,-0.11409876789223,-0.0751364381866371,-0.0462712611164732,-0.0228160122969054
0.0146627565982405,0.000977517106549365,0.758609068673038,0.230291819384537,0.010985624090253,0.000113487852172035,0,0,0,0,0,-4.91605273636888,-1.4005570910865,-0.63276551256513,-0.332846955993505,-0.181134034860556,-0.0980074773077947,-0.0645219595783264,-0.0397302586228563,-0.0195900400049502
0.0156402737047898,0.000977517106549365,0.744067441442349,0.243342972823367,0.0124518535142854,0.000137732219999009,0,0,0,0,0,-4.82181789356146,-1.26928726743348,-0.547067685058913,-0.2818933099887,-0.152467012675743,-0.0823731606326998,-0.0542093097230548,-0.0333753459052269,-0.0164558598556871
0.0166177908113392,0.000977517106549365,0.72971284219204,0.256118426439986,0.014003526681242,0.00016520468673221,0,0,0,0,0,-4.72879505763966,-1.14035053982116,-0.463555522375016,-0.232372229144967,-0.124625159552865,-0.0671913141422162,-0.0441955098205193,-0.0272046854349284,-0.0134125653064742
0.0175953079178886,0.000977517106549365,0.71554406038502,0.268620298674303,0.0156395339321238,0.000196107008553277,0,0,0,0,0,-4.63697638389872,-1.0137298105408,-0.382210240431024,-0.184269897355297,-0.0976003093722066,-0.052457434111615,-0.0344775810704169,-0.0212164396833045,-0.0104592498146698
0.0185728250244379,0.000977517106549365,0.7015598854842,0.280850707966224,0.0173587656079318,0.000230640941643849,0,0,0,0,0,-4.54635402763386,-0.889407981883687,-0.303013055144525,-0.137572498512685,-0.0713842960140551,-0.0381670168161671,-0.0250525446724447,-0.0154087711216989,-0.00759500683763184
0.0195503421309873,0.000977517106549365,0.68775910695249,0.292811772755657,0.0191601120496669,0.000269008242185565,0,0,0,0,0,-4.45692014414034,-0.767367956141082,-0.225945182433105,-0.0922662165101224,-0.0459689533586971,-0.0243155585311435,-0.0159174218262997,-0.00977984222145525,-0.00481892983271863
0.0205278592375367,0.000977517106549365,0.6741405142528,0.304505611482509,0.0210424635983301,0.000311410666360064,0,0,0,0,0,-4.36866688871339,-0.64759263560426,-0.15098783821435,-0.048337235240602,-0.0213461152864188,-0.0108985555318151,-0.00706923373167891,-0.00432781545391705,-0.00213011225728824
0.021505376344086,0.000977517106549365,0.660702896848041,0.315934342586687,0.0230047105949224,0.000358049970348987,0,0,0,0,0,-4.28158641664825,-0.530064922564493,-0.0781222384058463,-0.00577173859711638,0.00249238432249322,0.00208849590654737,0.00149499841172069,0.00094914670957204,0.000472352431301184
0.0224828934506354,0.000977517106549365,0.647445044201122,0.327100084508099,0.0250457433804448,0.000409127910333971,0,0,0,0,0,-4.19567088324016,-0.414767719313057,-0.00732959892518142,0.035444089527341,0.025554711587752,0.0146500995086725,0.0097782534042019,0.00605288179766828,0.00298937077569143
0.0234604105571848,0.000977517106549365,0.634365745774954,0.338004955686651,0.0271644522958983,0.000464846242496656,0,0,0,0,0,-4.11091244378435,-0.301683928141221,0.0614088643100591,0.075324065239778,0.0478490326290713,0.0267907589992897,0.0177835100460678,0.0109852273390281,0.0054218493185244
0.0244379276637341,0.000977517106549365,0.621463791032447,0.34865107456225,0.0293597276822839,0.000525406723018681,0,0,0,0,0,-4.02730325357607,-0.190796451340259,0.128111935382288,0.113882004647201,0.0693835135661643,0.0385149781031278,0.0255137471376213,0.0157480208623079,0.0077706946024419
0.0254154447702835,0.000977517106549365,0.608737969436511,0.359040559574805,0.0316304598806025,0.000591011108081686,0,0,0,0,0,-3.94483546791056,-0.0820881912014418,0.19279839837392,0.151131723856619,0.090166320518745,0.0498272605449162,0.0329719434791656,0.0203430998961641,0.0100368131700859
0.0263929618768328,0.000977517106549365,0.596187070450056,0.369175529164222,0.0339755392318552,0.000661861153867309,0,0,0,0,0,-3.86350124208304,0.0244579499839568,0.255487037367368,0.187087038975039,0.110205619606526,0.0607321100493836,0.0401610778710034,0.0247723019692529,0.0122211115640981
0.0273704789833822,0.000977517106549365,0.583809883535992,0.379058101770408,0.0363938560770429,0.00073815861655719,0,0,0,0,0,-3.78329273138877,0.128859069924665,0.316196636445046,0.221761766109467,0.129509576949222,0.0712340303412593,0.0470841291134378,0.0290374646102307,0.0143244963271204
0.0283479960899316,0.000977517106549365,0.57160519815723,0.388690395833271,0.0388843007571666,0.000820105252332968,0,0,0,0,0,-3.70420209112298,0.231132266329409,0.374945979689366,0.25516972136691,0.148086358666545,0.0813375251452721,0.0537440760067717,0.033140425347754,0.0163478740017947
