"SampleID","Basis1","Basis2","Basis3","Basis4","Basis5","Basis6","Basis7","Basis8","Basis9"
"TCGA-02-0011",-0.902611176713904,0.325520147639998,-0.260167235756087,0.293737977760079,-0.42137349647828,0.580264067664462,-0.646462941843488,0.598510401300597,-0.737054004437584
"TCGA-02-0027",-1.19492737922946,0.824050251711467,-0.863763787489961,0.783965852791626,-0.83135776775321,1.01553303652707,-1.08548797474132,1.03549416334648,-0.76122432544754
"TCGA-02-0033",-0.767011883583836,0.456917490095663,-0.705841285224565,0.843642380875856,-0.8456907839998,0.767327881406997,-0.584802068484779,0.572417770756254,-0.538745195897336
"TCGA-02-0034",-0.839519370523195,0.537304739562126,-0.587868361145815,0.668400722835436,-0.994851414517461,1.14280087143725,-1.05583279898015,0.875711622873746,-0.677357491489119
"TCGA-02-0046",-0.91892003719076,0.57430762261711,-0.681633256815184,0.782335069969444,-0.829527501533564,0.848617879462761,-0.90401194524962,0.740146346352369,-0.618291047756008
"TCGA-02-0047",-0.806285050119555,0.707196658495302,-1.05379265812479,0.91644816579336,-0.857064139237116,0.877515081661342,-0.804239311435909,0.716521388795526,-0.650339537304496
"TCGA-02-0060",-1.40535511034017,1.41807470797951,-1.42799256123542,1.38196808814159,-1.45482803006746,1.55135599466765,-1.41097588318706,1.17797909344617,-0.83094038310595
"TCGA-02-0064",-1.1898588490032,1.02912072031851,-1.28530105795496,1.29179011901378,-1.2788236812488,1.32982184333465,-1.173742034794,0.9922299128053,-0.799820269537951
"TCGA-02-0068",-0.77931539311322,0.531729592149417,-0.657122119990628,0.699161469532757,-0.885386075625544,1.10660766801128,-0.847833748610001,0.753558697410047,-0.621901968208584
"TCGA-02-0069",-0.819910464212117,0.57516628396697,-0.673626838448743,0.768616171946117,-0.905270971964865,0.937854902130169,-0.988712749002241,1.09720278156011,-0.859927377375212
"TCGA-02-0070",-1.07760192745066,0.929994995121282,-1.03153599706023,1.15372434038301,-1.24604568581342,1.18281371548739,-1.03116308822978,0.891646958373189,-0.695863558853864
"TCGA-02-0085",-0.809148282258373,0.526725345381271,-0.660319825034158,0.768508009824666,-0.962990553593747,0.98291829387773,-0.798143527197583,0.695429770026386,-0.548789566136518
"TCGA-02-0086",-0.93301609514298,0.406146589850837,-0.487197269264033,0.369805707192362,-0.385497912479343,0.460450414790282,-0.54736015327236,0.592380955537813,-0.6659518318133
"TCGA-02-0087",-0.894647459005803,0.707878693389939,-0.654882543309355,0.583225032738386,-0.625097783860774,0.796592951134928,-1.0073183806407,1.06210853419601,-0.716119508279851
"TCGA-02-0102",-0.564782663658198,-0.00284451066565,0.008759260239378,-0.0620042007524607,0.00721499147749878,0.123919165239048,-0.328987088182936,0.533361199759989,-0.59883731847543
"TCGA-02-0106",-0.683231052558772,0.281459677975519,-0.349418023089492,0.401313291492916,-0.707095409720232,0.825286733754383,-0.81165207615266,0.846769618192659,-0.614140438918976
"TCGA-06-0122",-1.40509163885755,1.30878755449931,-1.48709520098983,1.27161980695507,-1.16796121534646,1.16045426747283,-1.02199095708146,0.928857924236944,-0.728792167212875
