"ID","alpha","alpha_se","beta","beta_se","p.joint","fdr_value"
"Mediator423",0.21012203899177,0.122550646411765,3.21691207409397,0.145398763002689,0.0871276866561656,0.340561200967088
"Mediator425",0.209540543493475,0.122543171108714,0.48255196104069,0.145532026603047,0.087983357977205,0.340561200967088
"Mediator426",0.209246689788689,0.122539538371473,0.408695172743238,0.145455023208414,0.0884187585266578,0.340561200967088
"Mediator427",0.208951181698185,0.122536008330203,-0.246720388196784,0.145519514728028,0.0899909644195249,0.340561200967088
"Mediator434",0.206827608890648,0.12251087865274,-1.53846145587599,0.145100815741519,0.0920739883584149,0.340561200967088
"Mediator435",0.206518104898798,0.122507238339758,-1.59708803836133,0.144938273206648,0.0925505102907882,0.340561200967088
"Mediator438",0.205584438906894,0.122497166100089,-0.345581868442327,0.144769585811965,0.0940026661860015,0.340561200967088
"Mediator439",0.205271895134124,0.122494045111147,-0.326831793267208,0.144633267763889,0.0944935761229156,0.340561200967088
"Mediator440",0.204958997707819,0.122490844596062,-0.26104057754988,0.144610076306848,0.0949869255418653,0.340561200967088
"Mediator430",0.208050217404448,0.122525255000008,0.238784177663414,0.145256305919156,0.100200648669784,0.340561200967088
"Mediator982",0.186338122968441,0.124820628417932,1.9619908651327,0.147826805755445,0.136193870315147,0.340561200967088
"Mediator981",0.186416976020998,0.124922596361385,7.09446325807667,0.147913535715818,0.136347667838486,0.340561200967088
"Mediator983",0.186049587675223,0.124701611020655,-0.461219672484457,0.147121683327564,0.136426720758613,0.340561200967088
"Mediator980",0.186295994265162,0.125021728411615,2.93943224654474,0.148538664150107,0.136912065250322,0.340561200967088
"Mediator984",0.185531305015822,0.12454567295726,-3.99298619923949,0.146988788378856,0.137028829367963,0.340561200967088
"Mediator979",0.185981295953968,0.12512539463163,5.65899686386248,0.148639211489871,0.137900277040241,0.340561200967088
"Mediator985",0.184787458707266,0.124330577426473,-1.9111344069677,0.147268111496102,0.137926750389091,0.340561200967088
"Mediator986",0.183808787329857,0.124034459090251,-5.24408033983093,0.147519604295757,0.139078149479973,0.340561200967088
"Mediator978",0.185490031623423,0.125240614718352,4.22445868013903,0.149019442713795,0.139303827301488,0.340561200967088
"Mediator987",0.182617803529245,0.123647555328424,-2.88233885389733,0.147932263781919,0.140411877160392,0.340561200967088
"Mediator977",0.18486596199329,0.125369640310574,2.8624361030132,0.149466791344141,0.141044060681762,0.340561200967088
