"Gene","Basis","basis_index","parameter","estimate","std_error","statistic","p_value","hazard_ratio"
"DDIT3","Basis1",1,"lambda",0.127191201151352,0.252486467823038,0.503754526917844,0.616409947245197,NA
"DDIT3","Basis2",2,"lambda",-0.308574909530491,0.309328330884577,-0.99756433123364,0.322781764257083,NA
"DDIT3","Basis3",3,"lambda",0.190019363019788,0.112609103059922,1.68742453191084,0.0970847944749979,NA
"DDIT3","Basis1",1,"beta",-0.181780160931427,0.60168542073605,-0.302118274212217,0.762561902168382,0.8337846187031
"DDIT3","Basis2",2,"beta",0.367031426965993,0.492283873622754,0.745568657906629,0.455928021902605,1.44344328144529
"DDIT3","Basis3",3,"beta",-0.577926309233725,0.594686453670949,-0.971816838379679,0.331141677423137,0.561060627306389
