"Gene","Basis","basis_index","term","estimate","std_error","statistic","p_value"
"DDIT3","Basis1",1,"(Intercept)",0.101872090525861,0.3552497066395,0.286761927235703,0.775352953696577
"DDIT3","Basis1",1,"Exposure",0.127191201151352,0.252486467823038,0.503754526917844,0.616409947245197
"DDIT3","Basis1",1,"Age",0.0107639371608416,0.00499878668381885,2.15330996133213,0.0356152647025976
"DDIT3","Basis1",1,"Gender",-0.26203256569493,0.148665846001397,-1.76256061995885,0.0834313747667238
"DDIT3","Basis1",1,"Classical",0.0607063626497483,0.166676414608682,0.364216873708694,0.71706772285702
"DDIT3","Basis1",1,"Mesenchymal",0.401994554030209,0.202265586730015,1.9874589668424,0.0517703145643091
"DDIT3","Basis1",1,"Neural",0.548339562604042,0.221365300471558,2.47708001857543,0.0162912225060868
"DDIT3","Basis1",1,"Proneural",0.335712681743934,0.262953473196051,1.27669993350358,0.206977102807809
"DDIT3","Basis2",2,"(Intercept)",-0.977621611993875,0.435226488569877,-2.24623647151227,0.0286513948491002
"DDIT3","Basis2",2,"Exposure",-0.308574909530491,0.309328330884577,-0.99756433123364,0.322781764257083
"DDIT3","Basis2",2,"Age",-0.0116937067239062,0.00612415530497847,-1.90943993768416,0.0613334168764491
"DDIT3","Basis2",2,"Gender",0.482254668066705,0.182134743297952,2.64779063749407,0.0105042683860382
"DDIT3","Basis2",2,"Classical",-0.127229812198675,0.204200001581332,-0.623064697421168,0.535771360212467
"DDIT3","Basis2",2,"Mesenchymal",-0.510855213353818,0.247801305464167,-2.06155174363151,0.0439038042150011
"DDIT3","Basis2",2,"Neural",-0.672533256462073,0.271200906333808,-2.47983410363048,0.0161785780421213
"DDIT3","Basis2",2,"Proneural",-0.339212570449643,0.322151755954879,-1.05295893683458,0.296882080905726
"DDIT3","Basis3",3,"(Intercept)",0.86610256224952,0.158441563905962,5.46638483550672,1.10197680481095e-06
"DDIT3","Basis3",3,"Exposure",0.190019363019788,0.112609103059922,1.68742453191084,0.0970847944749979
"DDIT3","Basis3",3,"Age",-0.00385031026849437,0.00222946160127383,-1.72701349343467,0.089677937581849
"DDIT3","Basis3",3,"Gender",-0.0259496481234254,0.0663050488139242,-0.3913676045432,0.697010754754399
"DDIT3","Basis3",3,"Classical",-0.0726143712984025,0.0743377722860076,-0.976816617789211,0.332860957133004
"DDIT3","Basis3",3,"Mesenchymal",-0.144289835544301,0.0902105625617915,-1.59947828111001,0.115341727959556
"DDIT3","Basis3",3,"Neural",-0.0828122529157203,0.0987290453608134,-0.838783081646097,0.405157316622479
"DDIT3","Basis3",3,"Proneural",-0.144259887325209,0.117277393194206,-1.23007412934496,0.223811872391505
