"Gene","term","estimate","hazard_ratio","std_error","statistic","p_value"
"PIK3CA","Exposure",1.13518425376435,3.11174684115652,0.581583045768463,1.95188677184425,0.0509516491382491
"PIK3CA","Age",0.0255860151373942,1.0259161467937,0.0128988965304239,1.98358170228328,0.0473024906822422
"PIK3CA","Gender",-0.209270540001471,0.811175750466265,0.335297761293863,-0.624133424553531,0.532539964550584
"PIK3CA","Classical",0.607632380794943,1.83607911236785,0.389385983911242,1.5604885792023,0.118644466789314
"PIK3CA","Mesenchymal",0.8298589480402,2.29299528597389,0.491232676960606,1.68933987285775,0.0911543164013248
"PIK3CA","Neural",1.126352428702,3.08438544081919,0.531320750972893,2.11991048089042,0.0340135953563595
"PIK3CA","Proneural",0.842606340221556,2.32241209159145,0.621727741278782,1.35526579285085,0.17533288940242
"PIK3CA","Basis1",-0.127414711297368,0.880368498119383,1.09851008848244,-0.115988658304802,0.907661530485788
"PIK3CA","Basis2",-0.238686849003532,0.787661500740115,0.958994300618981,-0.248892875431556,0.803443646501211
"PIK3CA","Basis3",0.30060660163108,1.35067788253139,1.07100091582201,0.28067819288498,0.778957236211862
"PIK3CA","Basis4",-0.0201143766965499,0.980086567831789,1.16918681208051,-0.0172037321056994,0.986274084840868
"PIK3CA","Basis5",0.914769694373504,2.49620029672653,1.61123644124062,0.567743920730311,0.570208863761751
