"Gene","term","estimate","hazard_ratio","std_error","statistic","p_value"
"EGFR","Exposure",0.43891607850285,1.55102511757578,0.489906535066598,0.895917990649347,0.370296564844308
"EGFR","Age",0.0308862949788595,1.0313682254732,0.0123362044391139,2.50371134260142,0.0122898256188363
"EGFR","Gender",-0.0946387375013107,0.909701516155325,0.317682394047579,-0.297903627253378,0.765776719434682
"EGFR","Classical",0.318791005003077,1.37546382980569,0.399190651680513,0.798593362998435,0.424526237337546
"EGFR","Mesenchymal",1.04332958333243,2.83865282811327,0.583082817317704,1.78933344002821,0.0735611316677674
"EGFR","Neural",1.0745472966066,2.9286667829966,0.529856921820771,2.02799520465655,0.042560737425071
"EGFR","Proneural",1.05448251655849,2.87048933879029,0.699427570953094,1.50763647352587,0.131647592452816
"EGFR","Basis1",-0.170295013443878,0.843415960843062,0.589490129899833,-0.288885266786086,0.772669178677884
"EGFR","Basis2",0.334811239475367,1.39767653416506,0.496818479423033,0.673910599831535,0.500368152716498
"EGFR","Basis3",-0.325754609665055,0.721982333182464,0.578209666491278,-0.563384925129004,0.573172800058262
