"Gene","Basis","basis_index","parameter","estimate","std_error","statistic","p_value","hazard_ratio"
"EGFR","Basis1",1,"lambda",0.224397905570054,0.182867741101906,1.22710492412658,0.224917061618358,NA
"EGFR","Basis2",2,"lambda",-0.313429637629057,0.224648555959954,-1.39519987693546,0.168464381166059,NA
"EGFR","Basis3",3,"lambda",0.121712432239715,0.0829527325362659,1.46725042706103,0.147901981601641,NA
"EGFR","Basis1",1,"beta",-0.170295013443878,0.589490129899833,-0.288885266786086,0.772669178677884,0.843415960843062
"EGFR","Basis2",2,"beta",0.334811239475367,0.496818479423033,0.673910599831535,0.500368152716498,1.39767653416506
"EGFR","Basis3",3,"beta",-0.325754609665055,0.578209666491278,-0.563384925129004,0.573172800058262,0.721982333182464
