"SampleID","Basis1","Basis2","Basis3","Basis4","Basis5"
"TCGA-02-0011",-0.963187960471399,0.264734795680858,-0.758791265173319,0.690380722436306,-0.865757833612613
"TCGA-02-0027",-1.56502947515503,1.10530797565155,-1.21191589137931,1.22422191645355,-1.15561328892862
"TCGA-02-0033",-0.988812266611126,1.04865844295754,-1.11940705528049,0.599756942474062,-0.724573234381464
"TCGA-02-0034",-1.07428752045238,0.919427074846455,-1.42168874324626,1.2079436795368,-0.953907932956742
"TCGA-02-0046",-1.17425198783695,0.985022262530487,-1.16818808592758,0.91443322857045,-0.899546840142354
"TCGA-02-0047",-1.20859205742212,1.39596556544142,-1.07183365382383,0.896795028807151,-0.865056811699886
"TCGA-02-0060",-2.14427624732626,2.07866256402919,-1.85321387042488,1.62353288857787,-1.23395156992443
"TCGA-02-0064",-1.73487870835604,1.84043428701798,-1.66649149411629,1.3012842636593,-1.12670171611047
"TCGA-02-0068",-1.03183566687829,0.977139295568849,-1.28635630040774,1.04879225323177,-0.812055435909502
"TCGA-02-0069",-1.09135554480127,1.0227239345452,-1.24839700210868,1.10592287794996,-1.27369236411669
"TCGA-02-0070",-1.55003336291828,1.58276458038176,-1.58998083680574,1.11613792634915,-1.00650376978477
"TCGA-02-0085",-1.05438262602171,1.0168611965991,-1.3054104503919,0.892568699610972,-0.772525167606493
"TCGA-02-0086",-1.06613307641685,0.464264552580705,-0.614088130466064,0.576433689242879,-0.83479403285977
"TCGA-02-0087",-1.22182970710312,0.859354073539296,-0.918778415722684,1.15027406859087,-1.15980411759468
"TCGA-02-0102",-0.465724645046566,-0.212673328255611,-0.189978512465804,0.350425278746117,-0.774550883258949
"TCGA-02-0106",-0.771024606225787,0.510803518610731,-1.06298893541559,0.941726048182299,-0.926521747896535
"TCGA-06-0122",-2.09429152555676,1.95170821196197,-1.40808198118176,1.16175602465214,-1.03994007022921
"TCGA-06-0127",-0.99689938713468,0.870161077373082,-1.05625094034252,0.732924627415802,-0.77042550323537
"TCGA-06-0129",-0.808173855233781,0.706407740174998,-0.597704304294726,0.267797671901626,-0.561115132940006
"TCGA-06-0133",-1.76345893001098,1.78883709390062,-1.75830682444794,1.24640034684229,-1.08255567417876
"TCGA-06-0137",-1.24580760204154,0.675500745117219,-1.01661119154231,0.926808198481476,-1.04745821000616
"TCGA-06-0145",-0.939131930751654,0.441015443538872,-0.757126853027838,1.06074085853679,-0.910531779988977
"TCGA-06-0147",-1.1044532104505,1.18275272737694,-1.07396442136642,0.793377895395471,-0.782039944259993
"TCGA-06-0149",-1.87457130656587,1.86121131372278,-1.51618271855506,1.52708787350631,-1.23140100538658
"TCGA-06-0154",-1.22788083109146,1.22124037108903,-1.04763137422075,0.919020704835626,-0.82033328437815
"TCGA-06-0158",-1.42370275514915,1.22583556521719,-1.29421636476731,0.990754824918171,-0.80108613245766
"TCGA-06-0162",-1.16472966400257,0.844071863476462,-1.15861688042582,1.07213404944456,-0.983479053372821
"TCGA-06-0164",-0.708517375079249,0.383936466790839,-1.11069052027991,1.22816509472917,-0.72798309073846
"TCGA-06-0166",-1.22696073768537,0.91882572679244,-0.822494130639962,0.631249299936227,-0.754016574995706
"TCGA-06-0168",-1.09512308284674,0.949841548897162,-0.765217733484254,0.641368655744089,-0.74057455091358
"TCGA-06-0171",-1.26803699145619,1.06982077135898,-1.28291705384337,0.977597162549191,-0.932342009872216
"TCGA-06-0173",-1.37879350750889,1.29231488727663,-1.22937738057317,1.18458932798229,-1.16854096133651
"TCGA-06-0174",-1.4304005850947,1.32872168649097,-1.05509161059283,0.970271858381346,-0.88984085881672
"TCGA-06-0175",-1.10095872511967,0.824844128392727,-0.602928631541695,0.556988079618611,-0.780294031750953
"TCGA-06-0176",-1.12982369672022,0.856946993434461,-0.931478635970301,0.990794238465401,-0.838333538638761
"TCGA-06-0177",-0.319370021339013,-0.265624598291262,-0.678891338699114,0.963436067128177,-0.623269085214798
"TCGA-06-0179",-1.86697774636942,1.91438152202769,-2.2512838651108,1.85913848681643,-1.15685081823465
"TCGA-06-0185",-1.75290948267409,1.0240275821013,-1.21914013476868,1.33349726672262,-1.00609919824866
"TCGA-06-0187",-1.11941886032533,0.657836051547134,-0.738509225654552,0.811193050130799,-0.835044491801904
"TCGA-06-0189",-1.50697701110003,1.39214188009998,-1.53422508059649,1.09452810121555,-0.979555010035381
"TCGA-06-0190",-0.994422637807515,0.922112829856782,-1.43439825489239,0.981563094757927,-0.730360345040386
"TCGA-06-0210",-1.32805595314697,1.52067968327695,-1.15341727776337,0.79258670401976,-0.826600647340336
"TCGA-06-0237",-1.4214423101321,1.32946726943935,-1.03730118044194,0.535453523673049,-0.819332019750385
"TCGA-06-0238",-1.76931963819575,1.94452629899366,-1.79853247755628,1.38398430219214,-1.04184433223014
"TCGA-06-0241",-1.58437255372277,1.7918905448342,-1.96252026623573,1.32262258668681,-1.01590933593309
"TCGA-06-0644",-1.73578977274417,1.87930215859605,-1.76253784928853,1.13924381244581,-1.03276004689723
"TCGA-08-0350",-0.265474798036162,-0.209158854023003,-0.293552428762721,0.576470329720373,-0.57222722074735
"TCGA-08-0353",-0.603074333476411,0.403194325916084,-0.622139676419951,0.568388089941494,-0.644969330015508
"TCGA-08-0357",-0.125606156085247,-0.0982006188684154,-0.328609506823959,0.137013633566716,-0.52838185299426
