"Gene","term","estimate","hazard_ratio","std_error","statistic","p_value"
"DDIT3","Exposure",2.28905244863497,9.86558510221803,0.669242206288404,3.42036474556795,0.000625372248434368
"DDIT3","Age",0.0294228513688674,1.02985998011927,0.0127916370596732,2.30016308558547,0.021438982312953
"DDIT3","Gender",-0.0649460976622464,0.937117974865644,0.32493116819018,-0.199876478529243,0.841577186652206
"DDIT3","Classical",0.610004001246505,1.84043876281607,0.4063940086624,1.50101622623391,0.133351364756423
"DDIT3","Mesenchymal",0.60595647765455,1.83300459863064,0.508569990300191,1.19149082567155,0.233460956113179
"DDIT3","Neural",0.690129404750462,1.99397354619785,0.54898387196498,1.25710324108481,0.208716253700916
"DDIT3","Proneural",0.113141996461147,1.11979092800895,0.645470711511249,0.175286026838066,0.860854890758798
"DDIT3","Basis1",-3.17542237336417,0.0417764550960689,1.72924563882538,-1.8363049771929,0.0663125640742114
"DDIT3","Basis2",-4.26804449128057,0.0140091514029118,1.76365311617414,-2.42000223974835,0.0155204115057042
"DDIT3","Basis3",-4.37046462808381,0.0126453638117012,1.57179726632857,-2.78055237892888,0.0054266504618882
"DDIT3","Basis4",-4.46653302444288,0.0114870722922375,1.67640264955431,-2.6643557415221,0.00771359425350261
"DDIT3","Basis5",-3.19044805489512,0.0411534278128274,1.56646776972385,-2.03671477738579,0.0416786327956158
"DDIT3","Basis6",-0.810878977698511,0.444467217702459,2.2748425190377,-0.356454994538051,0.72149985062763
"DDIT3","Basis7",2.52650908543555,12.5097593218839,2.71773345726669,0.929638290568986,0.352558395059863
