"Gene","Basis","basis_index","parameter","estimate","std_error","statistic","p_value","hazard_ratio"
"MDM4","Basis1",1,"lambda",0.118307240880196,0.121198798979084,0.976142023491618,0.333192140325149,NA
"MDM4","Basis2",2,"lambda",-0.05277601138981,0.171676870795486,-0.307414802851811,0.759668039946412,NA
"MDM4","Basis3",3,"lambda",-0.0601370296674912,0.184111479334573,-0.326633786686425,0.745162575616313,NA
"MDM4","Basis4",4,"lambda",0.0806161260135362,0.193103855380493,0.41747548672547,0.677926939754465,NA
"MDM4","Basis5",5,"lambda",0.0385956318015137,0.202076207028503,0.190995428749659,0.849219950420742,NA
"MDM4","Basis6",6,"lambda",-0.152728704683237,0.210797058067931,-0.724529583491712,0.471757062986713,NA
"MDM4","Basis7",7,"lambda",0.145456165347696,0.156790252666574,0.927711786121168,0.357538475376522,NA
"MDM4","Basis8",8,"lambda",-0.116487524037025,0.1156373498105,-1.00735207290654,0.31809858856114,NA
"MDM4","Basis9",9,"lambda",0.0692158172365502,0.0571331223682151,1.21148318816647,0.230797722758835,NA
"MDM4","Basis1",1,"beta",-4.53124221849876,2.04097336245818,-2.22013785277494,0.0264094113894963,0.0107672924319206
"MDM4","Basis2",2,"beta",-7.47412175420765,2.45776965801837,-3.04101799362021,0.00235779739906602,0.00056758402709274
"MDM4","Basis3",3,"beta",-8.34688444549701,2.75837516258633,-3.02601493760216,0.00247800060491776,0.000237134173171219
"MDM4","Basis4",4,"beta",-5.50684548947179,3.15734808670394,-1.74413632524774,0.0811353212390271,0.00405889102402483
"MDM4","Basis5",5,"beta",-1.64569590059532,3.27055657725345,-0.503185271901746,0.614834018726304,0.192878291961404
"MDM4","Basis6",6,"beta",-2.53947041293553,2.80231936448792,-0.906203070612398,0.364828378068854,0.0789081774773099
"MDM4","Basis7",7,"beta",-5.3564582089518,3.72177174821313,-1.43922265290006,0.150087449170794,0.00471758525434421
"MDM4","Basis8",8,"beta",-4.04422848955184,3.16113519129155,-1.27935954801714,0.200770471914504,0.0175232187883574
"MDM4","Basis9",9,"beta",2.02003659315619,3.26592729481269,0.618518543374998,0.536233578165209,7.53860078981084
