"replicate","direct_effect","indirect_effect","total_effect","status","message"
1,-0.6013353267091,-0.236642792040553,-0.837978118749652,"ok",NA
2,-0.48456363200359,-0.246534550609876,-0.731098182613466,"ok",NA
3,-0.859342861727415,-0.63853348867513,-1.49787635040254,"ok",NA
4,-0.557854914559828,0.166944655964562,-0.390910258595266,"ok",NA
5,1.16675615343279,-1.18080677314925,-0.0140506197164636,"ok",NA
6,1.05666152430407,-0.490169759820805,0.566491764483263,"ok",NA
7,1.93674006210833,-0.151308997332105,1.78543106477623,"ok",NA
8,0.393695777043527,-0.316975635695107,0.0767201413484199,"ok",NA
9,-1.15074569222239,1.36279672132017,0.212051029097784,"ok",NA
10,1.56032054268226,-0.496752447213665,1.06356809546859,"ok",NA
11,-0.215359389964979,1.23508678951654,1.01972739955156,"ok",NA
12,-0.211698096046195,0.191962007983976,-0.0197360880622194,"ok",NA
13,0.932017684315491,-0.0951133357274714,0.83690434858802,"ok",NA
14,-0.542621991558996,-0.461550366714635,-1.00417235827363,"ok",NA
15,-1.20489286043665,0.0549011011382106,-1.14999175929843,"ok",NA
16,0.651719458092039,-0.204014649872182,0.447704808219856,"ok",NA
17,0.697548046607746,0.166010116129888,0.863558162737633,"ok",NA
18,-2.02743586697575,0.862358450472364,-1.16507741650339,"ok",NA
19,-0.176241653872883,0.071523808678021,-0.104717845194862,"ok",NA
20,-0.147483565836178,-1.04241645053795,-1.18990001637413,"ok",NA
21,1.38779391874162,0.116763593026641,1.50455751176826,"ok",NA
22,-0.508478572641616,-1.12541673211205,-1.63389530475366,"ok",NA
23,1.0119636610489,-0.580742715111054,0.431220945937851,"ok",NA
24,0.674450232505175,-0.939525939786246,-0.265075707281071,"ok",NA
25,0.203417876799624,0.319564285575777,0.522982162375401,"ok",NA
26,0.161813770006107,-0.651713296426382,-0.489899526420275,"ok",NA
27,-0.210260490725181,0.706135069531903,0.495874578806723,"ok",NA
28,1.09423710511134,-0.606092740391392,0.488144364719947,"ok",NA
29,-0.807880041172788,0.463137272517407,-0.34474276865538,"ok",NA
30,NA,NA,NA,"failed","Exposure coefficient missing in mediator model for MDM4, basis 1."
31,-1.5396630057817,1.92519787652539,0.385534870743687,"ok",NA
32,1.97358479370418,-2.2423429098184,-0.268758116114216,"ok",NA
33,-0.150254795666883,-0.401719236225691,-0.551974031892574,"ok",NA
34,0.281174838947587,-0.39632523343379,-0.115150394486204,"ok",NA
35,-0.172761497478222,-0.310094448740799,-0.482855946219021,"ok",NA
36,-0.491235626848191,0.0378791095476072,-0.453356517300584,"ok",NA
37,0.0141911484705671,-0.0417234683746284,-0.0275323199040613,"ok",NA
38,-0.8199149697109,0.446061263181552,-0.373853706529348,"ok",NA
39,-1.5150572308589,1.52188827417941,0.00683104332050366,"ok",NA
40,-0.606244767849298,1.12092648554579,0.514681717696489,"ok",NA
41,-0.965800736402279,-0.240258973378108,-1.20605970978039,"ok",NA
42,0.512346776720121,-0.169849851786553,0.342496924933569,"ok",NA
43,-1.58879256673865,0.85483390079967,-0.733958665938982,"ok",NA
44,-0.574987388833994,0.159199560063296,-0.415787828770699,"ok",NA
45,-0.687908471034917,-0.664481980815097,-1.35239045185001,"ok",NA
46,-0.166411386684344,-0.610845223687934,-0.777256610372277,"ok",NA
47,-0.0802862334827431,-0.351650875311114,-0.431937108793857,"ok",NA
48,-0.598223619353616,1.1075573403822,0.509333721028583,"ok",NA
49,-0.933291154975414,0.481433892528952,-0.451857262446461,"ok",NA
50,0.705281357952514,-1.91483575345134,-1.20955439549883,"ok",NA
51,-1.85575309937613,2.1205350289473,0.264781929571174,"ok",NA
52,-0.377970659210891,0.3858836443653,0.00791298515440836,"ok",NA
53,-0.103721656477308,-0.587943998444717,-0.691665654922024,"ok",NA
54,1.74461799543768,-0.782704406881691,0.961913588555992,"ok",NA
55,-0.900198081876396,0.0853963630497443,-0.814801718826652,"ok",NA
56,0.294047363017969,-0.270099539337009,0.0239478236809598,"ok",NA
57,-3.90875244377296,2.91462648495986,-0.994125958813103,"ok",NA
58,-0.728868264962304,0.763670705557406,0.0348024405951013,"ok",NA
59,-1.72817369788942,0.501396308902951,-1.22677738898647,"ok",NA
60,0.185622411596327,-0.0324831591094694,0.153139252486857,"ok",NA
61,0.365337357171605,-0.242981100741984,0.122356256429621,"ok",NA
62,0.753266068176238,-0.0766077397394042,0.676658328436833,"ok",NA
63,-0.35166634014582,0.827364802185516,0.475698462039695,"ok",NA
64,-1.19505195014105,0.00382643041935278,-1.1912255197217,"ok",NA
65,-0.18771034091295,-1.05969229073988,-1.24740263165283,"ok",NA
66,-0.0579760111431291,-0.279724763346167,-0.337700774489296,"ok",NA
67,-2.38626054474239,0.474463879984408,-1.91179666475798,"ok",NA
68,-0.742115427295331,-0.141396522043886,-0.883511949339218,"ok",NA
69,0.564094191616265,-0.843833857298798,-0.279739665682533,"ok",NA
70,-0.270272683254518,-0.0571431363888204,-0.327415819643338,"ok",NA
71,0.778322014949779,-0.0877239306291798,0.690598084320599,"ok",NA
72,-0.938317155579234,0.129866139931593,-0.80845101564764,"ok",NA
73,0.398263425794185,0.356886785126326,0.755150210920511,"ok",NA
74,0.0187139226116755,-0.130988053655593,-0.112274131043918,"ok",NA
75,-1.4203266965588,3.53433140783664,2.11400471127784,"ok",NA
76,-0.465721117314285,-0.0438428708624525,-0.509563988176738,"ok",NA
77,-1.89059984219245,0.173902422520302,-1.71669741967215,"ok",NA
78,-1.98058484880366,1.67399276390127,-0.306592084902384,"ok",NA
79,-0.573284097780381,0.20018693649589,-0.373097161284491,"ok",NA
80,-0.385931645097178,-0.387472777242222,-0.773404422339401,"ok",NA
81,1.24559070952705,-1.12461861837966,0.120972091147389,"ok",NA
82,-1.386307935679,1.73823217773625,0.351924242057249,"ok",NA
83,0.0291899729391219,0.308806489736173,0.337996462675295,"ok",NA
84,1.32040115555563,-1.23672072566311,0.0836804298925156,"ok",NA
85,-0.889390791646374,1.02435165503532,0.134960863388949,"ok",NA
86,0.130647897208014,-0.425894552130539,-0.295246654922525,"ok",NA
87,-0.773902055566891,0.400646140354608,-0.373255915212284,"ok",NA
88,-1.26868387792651,0.875140322851817,-0.393543555074689,"ok",NA
89,1.52802189028797,-0.980630850110065,0.547391040177909,"ok",NA
90,0.0801436860786026,0.263086762872113,0.343230448950716,"ok",NA
91,-0.482514089082859,0.0718411211950054,-0.410672967887853,"ok",NA
92,0.384933754389622,-0.422241719286586,-0.0373079648969634,"ok",NA
93,-1.26228440946302,0.643565654943921,-0.618718754519098,"ok",NA
94,0.415763201505728,0.64283982786618,1.05860302937191,"ok",NA
95,-0.727338064564393,-0.307835899928204,-1.0351739644926,"ok",NA
96,0.593471663915957,-0.547891979663236,0.0455796842527212,"ok",NA
97,0.613391106889881,-0.721158386342122,-0.107767279452241,"ok",NA
98,-0.103500267666324,0.211096800442712,0.107596532776388,"ok",NA
99,-0.69473907600087,0.0936736097600961,-0.601065466240773,"ok",NA
100,-4.09437922880649,0.95851208727722,-3.13586714152927,"ok",NA
