"Gene","term","estimate","hazard_ratio","std_error","statistic","p_value"
"KIT","Exposure",-0.220105654403537,0.802434012796594,0.617760393936431,-0.356296157157312,0.721618786895687
"KIT","Age",0.029825434095867,1.03027466742587,0.0124798981931755,2.38987799693564,0.0168539704696121
"KIT","Gender",-0.0313593044371509,0.969127298772908,0.308939851218968,-0.101506180939164,0.919148651223861
"KIT","Classical",0.427079664238114,1.53277476419414,0.372604694211058,1.14620043942924,0.251712226121972
"KIT","Mesenchymal",0.725675212738993,2.06612570348182,0.486723200910331,1.49094025388916,0.135977181664132
"KIT","Neural",0.942384798870141,2.56609374456076,0.532427975471638,1.76997611373699,0.0767311199357583
"KIT","Proneural",0.752474547675412,2.12224512103663,0.607734017730154,1.23816427207062,0.215655156209863
"KIT","Basis1",-0.151691535299993,0.859253289174224,0.604063215624719,-0.25111864350673,0.801722382212592
"KIT","Basis2",0.264005415019899,1.30213524737008,0.492179053009904,0.536401160117203,0.59168132980016
"KIT","Basis3",-0.393680318219515,0.674569669407785,0.605086802936358,-0.650617921774311,0.515293158477099
